location.name,location.region,location.country,location.lat,location.lon,location.tz_id,location.localtime_epoch,location.localtime,current.last_updated_epoch,current.last_updated,current.temp_c,current.temp_f,current.is_day,current.condition.text,current.condition.icon,current.condition.code,current.wind_mph,current.wind_kph,current.wind_degree,current.wind_dir,current.pressure_mb,current.pressure_in,current.precip_mm,current.precip_in,current.humidity,current.cloud,current.feelslike_c,current.feelslike_f,current.vis_km,current.vis_miles,current.uv,current.gust_mph,current.gust_kph
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636601408,11-11-2021 09:00,1636600500,11-11-2021 08:45,21,69.8,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,5.6,9,30,NNE,1014,29.94,0,0,56,0,21,69.8,3,1,5,15.4,24.8
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636602304,11-11-2021 09:15,1636601400,11-11-2021 09:00,21,69.8,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,26,NNE,1015,29.97,0,0,56,0,21,69.8,3,1,6,13,20.9
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636603212,11-11-2021 09:30,1636602300,11-11-2021 09:15,21,69.8,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,26,NNE,1015,29.97,0,0,56,0,21,69.8,3,1,6,13,20.9
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636604104,11-11-2021 09:45,1636599600,11-11-2021 08:30,21,69.8,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,26,NNE,1015,29.97,0,0,56,0,21,69.8,3,1,6,13,20.9
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636605004,11-11-2021 10:00,1636604100,11-11-2021 09:45,23,73.4,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,26,NNE,1015,29.97,0,0,61,0,24.7,76.4,3,1,6,13,20.9
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636605905,11-11-2021 10:15,1636605000,11-11-2021 10:00,23,73.4,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,29,NNE,1015,29.97,0,0,61,0,24.5,76.2,3,1,6,13.6,22
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636606805,11-11-2021 10:30,1636605900,11-11-2021 10:15,24,75.2,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,29,NNE,1015,29.97,0,0,57,0,25,77,3,1,6,13.6,22
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636607758,11-11-2021 10:45,1636603200,11-11-2021 09:30,24,75.2,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,29,NNE,1015,29.97,0,0,57,0,25,77,3,1,6,13.6,22
Hyderabad,Andhra Pradesh,India,17.38,78.47,Asia/Kolkata,1636608607,11-11-2021 11:00,1636607700,11-11-2021 10:45,25,77,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,1030,0,0,29,NNE,1014,29.94,0,0,54,0,25.6,78,3,1,6,13.6,22
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636609504,"2021-11-11 11:15",1636608600,"2021-11-11 11:00",25,77,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,0,0,31,"NNE",1014,29.94,0,0,54,0,25.5,77.9,3,1,7,13.9,22.3
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636610405,"2021-11-11 11:30",1636609500,"2021-11-11 11:15",24,75.2,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,0,0,31,"NNE",1014,29.94,0,0,57,0,24.9,76.8,3,1,7,13.9,22.3
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636611304,"2021-11-11 11:45",1636606800,"2021-11-11 10:30",24,75.2,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,0,0,31,"NNE",1014,29.94,0,0,57,0,24.9,76.8,3,1,7,13.9,22.3
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636612204,"2021-11-11 12:00",1636612200,"2021-11-11 12:00",25,77,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,5.6,9,50,"NE",1013,29.91,0,0,54,75,25.5,78,3,1,6,12.1,19.4
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636613104,"2021-11-11 12:15",1636613100,"2021-11-11 12:15",25,77,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,5.6,9,50,"NE",1013,29.91,0,0,54,75,25.5,78,3,1,6,12.1,19.4
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636614004,"2021-11-11 12:30",1636613100,"2021-11-11 12:15",25,77,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,5.6,9,50,"NE",1012,29.88,0,0,54,75,25.5,78,5,3,6,12.1,19.4
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636614901,"2021-11-11 12:45",1636610400,"2021-11-11 11:30",25,77,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,5.6,9,50,"NE",1012,29.88,0,0,54,75,25.5,78,5,3,6,12.1,19.4
"Hyderabad","Andhra Pradesh","India",17.38,78.47,"Asia/Kolkata",1636615802,"2021-11-11 13:00",1636614900,"2021-11-11 12:45",26,78.8,1,"Mist","//cdn.weatherapi.com/weather/64x64/day/143.png",1030,0,0,0,"N",1012,29.88,0,0,51,75,26.3,79.3,5,3,6,12.1,19.4
