airTemperature,cloudCover,humidity,precipitation,pressure,time,visibility,waterTemperature,windSpeed,windSpeed20m,windSpeed30m,place
23.87,100,70.83,0.02,1009.5,2021-11-10T17:00:00+00:00,24.13,28.65,3.15,1,1.12,Amaravathi
23.69,100,71.3,0.03,1009.04,2021-11-10T18:00:00+00:00,24.13,28.63,3.57,0.97,1.08,Amaravathi
23.34,100,74.93,0.05,1008.55,2021-11-10T19:00:00+00:00,24.13,28.62,3.67,0.89,0.99,Amaravathi
22.98,100,78.57,0.07,1008.05,2021-11-10T20:00:00+00:00,24.13,28.61,3.78,0.81,0.9,Amaravathi
22.63,100,82.2,0.09,1007.56,2021-11-10T21:00:00+00:00,24.13,28.6,3.88,0.73,0.81,Amaravathi
22.39,100,84.23,1.12,1007.7,2021-11-10T22:00:00+00:00,23.25,28.58,3.57,0.76,0.85,Amaravathi
22.15,100,86.27,2.16,1007.85,2021-11-10T23:00:00+00:00,22.36,28.57,3.27,0.8,0.88,Amaravathi
21.92,100,88.3,3.19,1008,2021-11-11T00:00:00+00:00,21.47,28.56,2.96,0.83,0.92,Amaravathi
21.44,100,90.17,4.02,1008.28,2021-11-11T01:00:00+00:00,15.52,28.55,3.13,0.63,0.72,Amaravathi
20.97,100,92.03,4.85,1008.56,2021-11-11T02:00:00+00:00,9.57,28.53,3.31,0.43,0.51,Amaravathi
20.49,100,93.9,5.68,1008.85,2021-11-11T03:00:00+00:00,3.61,28.52,3.48,0.23,0.31,Amaravathi
20.55,100,93.93,4.22,1008.45,2021-11-11T04:00:00+00:00,10.05,28.52,4.39,0.28,0.32,Amaravathi
20.61,100,93.97,2.75,1008.05,2021-11-11T05:00:00+00:00,16.48,28.52,5.31,0.32,0.32,Amaravathi
20.66,100,94,1.29,1007.65,2021-11-11T06:00:00+00:00,22.92,28.52,6.22,0.37,0.33,Amaravathi
21.23,100,93.47,1.15,1007.18,2021-11-11T07:00:00+00:00,20.32,28.52,6.27,1.55,1.67,Amaravathi
21.8,100,92.93,1.02,1006.71,2021-11-11T08:00:00+00:00,17.73,28.52,6.31,2.72,3,Amaravathi
22.38,100,92.4,0.88,1006.25,2021-11-11T09:00:00+00:00,15.13,28.51,6.36,3.9,4.34,Amaravathi
22.35,100,92.93,0.61,1006.52,2021-11-11T10:00:00+00:00,18.13,28.51,6.14,3.82,4.26,Amaravathi
22.33,100,93.47,0.34,1006.8,2021-11-11T11:00:00+00:00,21.13,28.5,5.91,3.74,4.18,Amaravathi
22.3,100,94,0.06,1007.08,2021-11-11T12:00:00+00:00,24.13,28.5,5.69,3.66,4.1,Amaravathi
22.38,100,93.8,0.04,1007.84,2021-11-11T13:00:00+00:00,24.13,28.49,5.7,3.19,3.61,Amaravathi
22.47,100,93.6,0.02,1008.6,2021-11-11T14:00:00+00:00,24.13,28.48,5.7,2.73,3.11,Amaravathi
22.55,100,93.4,0,1009.36,2021-11-11T15:00:00+00:00,24.13,28.47,5.71,2.26,2.62,Amaravathi
22.38,100,93.7,0,1009.09,2021-11-11T16:00:00+00:00,24.13,28.46,5.65,2.05,2.36,Amaravathi
22.2,100,94,0,1008.83,2021-11-11T17:00:00+00:00,24.14,28.45,5.6,1.83,2.11,Amaravathi
22.03,100,94.3,0,1008.57,2021-11-11T18:00:00+00:00,24.14,28.44,5.54,1.62,1.85,Amaravathi
21.78,100,94.67,0.01,1007.88,2021-11-11T19:00:00+00:00,24.14,28.43,5.45,1.6,1.86,Amaravathi
21.53,100,95.03,0.01,1007.19,2021-11-11T20:00:00+00:00,24.13,28.42,5.35,1.59,1.88,Amaravathi
21.28,100,95.4,0.01,1006.5,2021-11-11T21:00:00+00:00,24.13,28.41,5.26,1.57,1.89,Amaravathi
21.74,100,94.33,0.12,1006.7,2021-11-11T22:00:00+00:00,24.13,28.39,4.76,2.33,2.71,Amaravathi
