Time,Date,Temp,Weather,Wind,Humidity,Chance
22,11/10/2021,18ʡC,Clear,9 km/h,52%,0%
23,11/10/2021,17ʡC,Clear,8 km/h,54%,0%
0,11/10/2021,16ʡC,Clear,8 km/h,55%,0%
1,11/10/2021,16ʡC,Clear,8 km/h,57%,0%
2,11/10/2021,15ʡC,Clear,8 km/h,58%,0%
3,11/10/2021,15ʡC,Clear,8 km/h,60%,0%
4,11/10/2021,14ʡC,Clear,8 km/h,62%,0%
5,11/10/2021,14ʡC,Clear,8 km/h,64%,0%
6,11/10/2021,13ʡC,Sunny,8 km/h,65%,0%
7,11/10/2021,15ʡC,Sunny,9 km/h,59%,0%
8,11/10/2021,18ʡC,Sunny,10 km/h,48%,0%
9,11/10/2021,22ʡC,Sunny,12 km/h,39%,0%
10,11/10/2021,24ʡC,Sunny,14 km/h,33%,0%
11,11/10/2021,26ʡC,Sunny,15 km/h,30%,0%
12,11/10/2021,27ʡC,Sunny,17 km/h,27%,0%
13,11/10/2021,28ʡC,Sunny,17 km/h,26%,0%
14,11/10/2021,28ʡC,Sunny,16 km/h,25%,0%
15,11/10/2021,27ʡC,Sunny,14 km/h,26%,0%
16,11/10/2021,26ʡC,Sunny,12 km/h,28%,0%
17,11/10/2021,24ʡC,Sunny,10 km/h,33%,0%
18,11/10/2021,22ʡC,Clear,9 km/h,38%,0%
19,11/10/2021,20ʡC,Clear,9 km/h,42%,0%
20,11/10/2021,19ʡC,Clear,9 km/h,45%,0%
21,11/10/2021,18ʡC,Clear,9 km/h,49%,0%
8,11/11/2021,19ʡC,Sunny,10 km/h,53%,0%
9,11/11/2021,22ʡC,Sunny,12 km/h,43%,0%
10,11/11/2021,24ʡC,Sunny,14 km/h,36%,0%
11,11/11/2021,26ʡC,Sunny,16 km/h,31%,0%
12,11/11/2021,27ʡC,Sunny,17 km/h,28%,0%
13,11/11/2021,28ʡC,Sunny,17 km/h,26%,0%
14,11/11/2021,28ʡC,Sunny,17 km/h,26%,0%
15,11/11/2021,27ʡC,Sunny,15 km/h,26%,0%
16,11/11/2021,26ʡC,Sunny,13 km/h,30%,0%
17,11/11/2021,24ʡC,Sunny,11 km/h,34%,0%
18,11/11/2021,22ʡC,Clear,10 km/h,39%,0%
19,11/11/2021,20ʡC,Clear,10 km/h,44%,0%
20,11/11/2021,19ʡC,Clear,10 km/h,48%,0%
21,11/11/2021,18ʡC,Clear,10 km/h,51%,0%
22,11/11/2021,17ʡC,Clear,9 km/h,53%,0%
23,11/11/2021,16ʡC,Clear,9 km/h,55%,0%
0,11/12/2021,16ʡC,Clear,9 km/h,57%,0%
1,11/12/2021,15ʡC,Clear,9 km/h,59%,0%
2,11/12/2021,14ʡC,Clear,9 km/h,62%,0%
3,11/12/2021,14ʡC,Clear,9 km/h,66%,0%
4,11/12/2021,14ʡC,Clear,9 km/h,68%,0%
5,11/12/2021,13ʡC,Clear,9 km/h,70%,0%
6,11/12/2021,13ʡC,Sunny,9 km/h,72%,0%
7,11/12/2021,14ʡC,Sunny,10 km/h,67%,0%
10,11/12/2021,21ʡC,Sunny,12 km/h,51%,0%
11,11/12/2021,23ʡC,Sunny,15 km/h,41%,0%
12,11/12/2021,25ʡC,Sunny,16 km/h,35%,0%
13,11/12/2021,26ʡC,Sunny,16 km/h,32%,0%
14,11/12/2021,27ʡC,Sunny,16 km/h,30%,0%
15,11/12/2021,27ʡC,Sunny,15 km/h,28%,0%
16,11/12/2021,27ʡC,Sunny,14 km/h,28%,0%
17,11/12/2021,25ʡC,Sunny,13 km/h,31%,0%
18,11/12/2021,22ʡC,Sunny,12 km/h,39%,0%
19,11/12/2021,21ʡC,Clear,10 km/h,43%,0%
20,11/12/2021,19ʡC,Clear,9 km/h,47%,0%
21,11/12/2021,18ʡC,Clear,9 km/h,52%,0%
22,11/12/2021,16ʡC,Clear,9 km/h,58%,0%
23,11/12/2021,15ʡC,Clear,9 km/h,62%,0%
0,11/13/2021,15ʡC,Clear,9 km/h,64%,0%
1,11/13/2021,14ʡC,Clear,9 km/h,67%,0%
2,11/13/2021,14ʡC,Clear,9 km/h,67%,0%
3,11/13/2021,14ʡC,Clear,9 km/h,67%,0%
4,11/13/2021,13ʡC,Clear,9 km/h,70%,0%
5,11/13/2021,12ʡC,Clear,9 km/h,73%,0%
6,11/13/2021,12ʡC,Clear,9 km/h,75%,0%
7,11/13/2021,12ʡC,Sunny,9 km/h,76%,0%
8,11/13/2021,13ʡC,Sunny,10 km/h,71%,0%
17,11/13/2021,27ʡC,Sunny,12 km/h,37%,0%
18,11/13/2021,24ʡC,Sunny,10 km/h,43%,0%
19,11/13/2021,23ʡC,Clear,9 km/h,48%,0%
20,11/13/2021,21ʡC,Clear,9 km/h,54%,0%
21,11/13/2021,20ʡC,Clear,8 km/h,59%,0%
22,11/13/2021,19ʡC,Clear,9 km/h,62%,0%
23,11/13/2021,18ʡC,Clear,10 km/h,63%,0%
0,11/14/2021,17ʡC,Clear,10 km/h,64%,0%
1,11/14/2021,16ʡC,Clear,10 km/h,63%,0%
2,11/14/2021,16ʡC,Clear,10 km/h,62%,0%
3,11/14/2021,16ʡC,Clear,10 km/h,62%,0%
4,11/14/2021,15ʡC,Clear,10 km/h,63%,0%
5,11/14/2021,15ʡC,Clear,10 km/h,64%,0%
6,11/14/2021,15ʡC,Clear,10 km/h,66%,0%
7,11/14/2021,14ʡC,Sunny,10 km/h,66%,0%
8,11/14/2021,16ʡC,Sunny,11 km/h,62%,0%
9,11/14/2021,18ʡC,Sunny,12 km/h,53%,0%
10,11/14/2021,21ʡC,Sunny,12 km/h,46%,0%
11,11/14/2021,23ʡC,Sunny,13 km/h,42%,0%
12,11/14/2021,24ʡC,Sunny,14 km/h,41%,0%
13,11/14/2021,26ʡC,Sunny,13 km/h,40%,0%
14,11/14/2021,26ʡC,Sunny,13 km/h,41%,0%
15,11/14/2021,26ʡC,Sunny,12 km/h,42%,0%
10,11/15/2021,21ʡC,Sunny,13 km/h,54%,0%
11,11/15/2021,24ʡC,Sunny,13 km/h,50%,0%
12,11/15/2021,25ʡC,Sunny,14 km/h,47%,0%
13,11/15/2021,26ʡC,Sunny,13 km/h,45%,0%
14,11/15/2021,27ʡC,Sunny,12 km/h,44%,0%
15,11/15/2021,27ʡC,Sunny,10 km/h,44%,0%
16,11/15/2021,28ʡC,Sunny,10 km/h,43%,0%
17,11/15/2021,27ʡC,Sunny,9 km/h,45%,0%
18,11/15/2021,25ʡC,Sunny,9 km/h,50%,0%
19,11/15/2021,23ʡC,Clear,9 km/h,53%,0%
20,11/15/2021,22ʡC,Clear,9 km/h,56%,0%
21,11/15/2021,21ʡC,Clear,9 km/h,59%,0%
22,11/15/2021,19ʡC,Clear,9 km/h,62%,0%
23,11/15/2021,18ʡC,Clear,9 km/h,65%,0%
0,11/15/2021,18ʡC,Clear,9 km/h,67%,0%
1,11/15/2021,17ʡC,Clear,9 km/h,68%,0%
2,11/15/2021,16ʡC,Clear,9 km/h,70%,0%
3,11/15/2021,16ʡC,Clear,9 km/h,71%,0%
4,11/15/2021,15ʡC,Clear,9 km/h,73%,0%
5,11/15/2021,14ʡC,Clear,9 km/h,74%,0%
6,11/15/2021,14ʡC,Clear,9 km/h,75%,0%
7,11/15/2021,14ʡC,Sunny,9 km/h,76%,0%
8,11/15/2021,15ʡC,Sunny,11 km/h,71%,0%
9,11/16/2021,18ʡC,Sunny,12 km/h,59%,0%
10,11/16/2021,21ʡC,Sunny,13 km/h,50%,0%
11,11/16/2021,24ʡC,Sunny,13 km/h,44%,0%
12,11/16/2021,25ʡC,Sunny,13 km/h,40%,0%
13,11/16/2021,26ʡC,Sunny,13 km/h,37%,0%
14,11/16/2021,27ʡC,Sunny,13 km/h,35%,0%
15,11/16/2021,28ʡC,Sunny,12 km/h,34%,0%
16,11/16/2021,27ʡC,Sunny,12 km/h,34%,0%
17,11/16/2021,26ʡC,Sunny,11 km/h,35%,0%
18,11/16/2021,24ʡC,Sunny,10 km/h,41%,0%
19,11/16/2021,22ʡC,Clear,10 km/h,45%,0%
20,11/16/2021,20ʡC,Clear,10 km/h,51%,0%
21,11/16/2021,19ʡC,Clear,10 km/h,54%,0%
22,11/16/2021,18ʡC,Clear,10 km/h,57%,0%
23,11/16/2021,17ʡC,Clear,10 km/h,58%,0%
0,11/16/2021,16ʡC,Clear,10 km/h,58%,0%
1,11/16/2021,16ʡC,Clear,10 km/h,59%,0%
2,11/16/2021,15ʡC,Clear,10 km/h,61%,0%
3,11/16/2021,15ʡC,Clear,10 km/h,63%,0%
4,11/16/2021,14ʡC,Clear,11 km/h,64%,0%
5,11/16/2021,14ʡC,Clear,11 km/h,66%,0%
6,11/16/2021,14ʡC,Clear,11 km/h,67%,0%
7,11/16/2021,13ʡC,Sunny,12 km/h,70%,0%
1,11/17/2021,17ʡC,Clear,11 km/h,61%,0%
2,11/17/2021,17ʡC,Clear,11 km/h,61%,0%
3,11/17/2021,16ʡC,Clear,11 km/h,61%,0%
4,11/17/2021,16ʡC,Clear,11 km/h,62%,0%
5,11/17/2021,16ʡC,Clear,11 km/h,63%,0%
6,11/17/2021,15ʡC,Clear,11 km/h,65%,0%
7,11/17/2021,15ʡC,Sunny,11 km/h,66%,0%
9,11/17/2021,21ʡC,Sunny,14 km/h,57%,0%
