weather,description,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,wind_gust,clouds,timestamp
Mist,mist,298.13,299.11,298.13,298.14,1002,93,3000,5.81,96,11.62,90,11-11-2021 08:00
Drizzle,light intensity drizzle,298.13,299.11,298.13,298.14,1002,93,3000,5.81,96,11.62,90,11-11-2021 10:00
Drizzle,light intensity drizzle,298.13,299.11,298.13,298.14,1004,93,4000,4.92,121,10.28,90,11-11-2021 12:00
Mist,mist,298.13,299.11,298.13,298.14,1004,93,4000,4.92,121,10.28,90,11-11-2021 14:00
Drizzle,light intensity drizzle,297.57,298.5,297.57,298.14,1007,93,5000,2.68,130,8.49,90,11-11-2021 16:00
Rain,light rain,297.57,298.5,297.57,298.14,1008,93,4000,2.68,138,4.92,90,11-11-2021 18:00
Drizzle,drizzle,297.57,298.5,297.57,298.14,1008,93,4000,2.68,138,4.92,90,11-11-2021 20:00
Drizzle,light intensity drizzle,298.13,299.14,298.13,298.14,1009,94,4000,1.79,124,4.02,90,11-11-2021 22:00
Mist,mist,299.24,299.24,299.14,299.24,1011,95,2500,1.03,0,,75,12-11-2021 00:00
Mist,mist,299.24,299.24,299.24,300.14,1011,95,3000,1.03,0,,75,12-11-2021 02:00
Mist,mist,299.8,299.8,299.8,302.14,1011,94,4000,1.03,0,,75,12-11-2021 04:00
Mist,mist,301.46,307.9,301.46,302.14,1011,90,4000,2.57,190,,75,12-11-2021 06:00
Clouds,scattered clouds,302.57,309.33,302.57,303.14,1008,81,6000,2.24,125,4.92,40,12-11-2021 08:00
Clouds,scattered clouds,302.57,309.33,302.57,303.14,1008,81,6000,2.24,125,4.92,40,12-11-2021 10:00
Clouds,scattered clouds,300.35,304,300.35,301.14,1009,86,6000,1.34,140,4.02,40,12-11-2021 12:00
Clouds,scattered clouds,300.35,304,300.35,301.14,1009,86,6000,1.34,140,4.02,40,12-11-2021 14:00
Mist,mist,300.35,304.11,300.35,301.14,1010,87,5000,0.89,138,3.13,40,12-11-2021 16:00
Mist,mist,300.35,304.34,300.35,301.14,1012,89,5000,2.06,160,,75,12-11-2021 18:00
Mist,mist,299.8,299.8,299.8,300.14,1012,89,5000,1.54,160,,40,12-11-2021 20:00
Mist,mist,299.8,299.8,299.8,300.14,1012,90,4000,0,0,,75,12-11-2021 22:00
Mist,mist,299.8,299.8,299.8,300.14,1011,91,4000,0,0,,75,13-11-2021 00:00
Drizzle,light intensity drizzle,303.13,310.13,303.13,303.14,1013,80,5000,1.54,250,,75,13-11-2021 02:00
Haze,haze,303.13,310.13,303.13,303.14,1012,79,5000,1.34,135,4.02,75,13-11-2021 04:00
Haze,haze,303.13,310.13,303.13,303.14,1012,79,5000,1.34,135,4.02,75,13-11-2021 06:00
Haze,haze,302.57,309.57,302.57,303.14,1010,83,5000,0,0,,75,13-11-2021 08:00
Haze,haze,302.57,309.57,302.57,303.14,1010,83,5000,0,0,,75,13-11-2021 10:00
Haze,haze,303.13,310.13,303.13,303.14,1010,81,5000,1.79,164,4.47,75,13-11-2021 12:00
Mist,mist,302.02,307.96,302.02,302.14,1010,82,4500,0.45,132,1.79,75,13-11-2021 14:00
Mist,mist,301.46,306.75,301.46,302.14,1010,84,4500,0.45,142,4.02,75,13-11-2021 16:00
Mist,mist,300.91,305.53,300.91,301.14,1011,86,4000,3.09,160,,75,13-11-2021 18:00
Mist,mist,300.91,305.99,300.91,301.14,1013,89,4000,1.54,150,,40,13-11-2021 20:00
Mist,mist,300.35,304.46,300.35,301.14,1013,90,4000,1.54,140,,40,13-11-2021 22:00
Mist,mist,300.35,304.58,300.35,301.14,1013,91,4000,1.54,110,,40,14-11-2021 00:00
Mist,mist,300.35,304.58,300.35,301.14,1013,91,4000,1.54,110,,40,14-11-2021 02:00
Mist,mist,300.35,304.58,300.14,300.35,1013,91,4000,2.06,150,,40,14-11-2021 04:00
Mist,mist,300.35,304.58,300.14,300.35,1013,91,4000,2.06,150,,40,14-11-2021 06:00
Mist,mist,299.8,299.8,299.8,300.14,1011,92,4000,0,0,,40,14-11-2021 08:00
Mist,mist,302.02,309.02,302.02,302.14,1014,89,3000,0,0,,40,14-11-2021 10:00
Clouds,scattered clouds,303.69,310.69,303.69,304.14,1011,82,6000,1.79,81,4.47,40,14-11-2021 12:00
Mist,mist,302.02,308.39,302.02,302.14,1011,84,5000,1.79,111,3.13,40,14-11-2021 14:00
Mist,mist,301.46,307.12,301.14,301.46,1011,86,5000,2.06,130,,40,14-11-2021 16:00
Mist,mist,300.91,305.83,300.91,301.14,1013,88,5000,1.54,130,,40,14-11-2021 18:00
Mist,mist,300.91,305.83,300.91,301.14,1013,88,5000,1.54,130,,40,14-11-2021 20:00
Mist,mist,300.91,305.99,300.14,300.91,1013,89,4000,0,0,,40,14-11-2021 22:00
Mist,mist,300.91,305.99,300.14,300.91,1013,89,3000,0,0,,75,15-11-2021 00:00
Mist,mist,300.91,305.99,300.14,300.91,1013,89,3000,0,0,,75,15-11-2021 02:00
Mist,mist,300.91,305.99,300.14,300.91,1013,89,3000,0,0,,75,15-11-2021 04:00
Mist,mist,300.91,306.15,300.14,300.91,1012,90,2500,1.03,0,,75,15-11-2021 06:00
Drizzle,light intensity drizzle,299.24,299.24,299.14,299.24,1013,93,2500,1.03,0,1,75,15-11-2021 08:00
Mist,mist,299.24,299.24,299.14,299.24,1013,93,2500,1.03,0,1,75,15-11-2021 10:00
Mist,mist,300.35,304.7,300.35,301.14,1012,92,2500,0,0,1.04,75,15-11-2021 12:00
Drizzle,light intensity drizzle,300.91,305.83,300.91,301.14,1008,88,2500,1.03,0,0.23,75,15-11-2021 14:00
Thunderstorm,thunderstorm,301.46,307.12,301.14,301.46,1008,86,2500,2.06,350,,75,15-11-2021 16:00
Mist,mist,301.46,306.94,301.14,301.46,1008,85,3000,1.03,0,,40,15-11-2021 18:00
Mist,mist,300.35,304.34,300.35,301.14,1010,89,4000,1.54,140,,40,15-11-2021 20:00
Mist,mist,300.35,304.58,299.14,300.35,1012,91,4000,0,0,,40,15-11-2021 22:00
Mist,mist,299.8,299.8,299.14,299.8,1012,92,4000,0,0,,40,16-11-2021 00:00
Mist,mist,299.8,299.8,299.14,299.8,1011,93,4000,0,0,,40,16-11-2021 02:00
Mist,mist,299.24,299.24,299.14,299.24,1010,93,3000,0,0,,40,16-11-2021 04:00
Mist,mist,299.24,299.24,299.14,299.24,1010,93,3000,0,0,,40,16-11-2021 06:00
Mist,mist,299.24,299.24,299.14,299.24,1010,93,2000,0,0,,40,16-11-2021 08:00
Mist,mist,299.24,299.24,299.14,299.24,1010,93,2000,0,0,,40,16-11-2021 10:00
Haze,haze,303.69,310.69,303.69,304.14,1013,78,4000,2.24,106,4.02,40,16-11-2021 12:00
Clouds,scattered clouds,303.13,310.13,303.13,304.14,1010,80,6000,1.79,113,4.47,40,16-11-2021 14:00
Clouds,scattered clouds,303.13,310.13,303.13,303.14,1009,81,7000,0.89,96,4.02,40,16-11-2021 16:00
Clouds,scattered clouds,302.02,308.17,302.02,302.14,1010,83,6000,2.57,100,,40,16-11-2021 18:00
Clouds,scattered clouds,301.46,307.12,301.14,301.46,1012,86,6000,2.57,100,,40,16-11-2021 20:00
Clouds,scattered clouds,301.46,307.7,301.14,301.46,1014,89,6000,1.54,70,,40,16-11-2021 22:00
Mist,mist,301.46,307.7,300.14,301.46,1014,89,4000,1.03,0,1.52,40,17-11-2021 00:00
Rain,moderate rain,301.46,307.7,300.14,301.46,1014,89,4000,1.03,0,1.52,40,17-11-2021 02:00
Mist,mist,301.46,307.7,300.14,301.46,1014,89,4000,1.03,0,1.52,40,17-11-2021 04:00
Rain,moderate rain,301.46,307.7,300.14,301.46,1014,89,4000,1.03,0,1.52,40,17-11-2021 06:00
