Timestamp,Humidity,Dew Point,Wind Speed,UV Index,Visibility,Cloud Cover,Pressure,Temperature
2021-11-11T00:30:00+05:30,87,17.2,3.7,0,6.4,100,1010.8,19.4
2021-11-11T08:41:00+05:30,86,16.8,18.1,1,16.1,100,1012,19.1
2021-11-11T09:40:00+05:30,91,17.8,5.6,2,6.4,100,1012,19.2
2021-11-11T10:36:00+05:30,83,16.4,26.7,2,6.4,100,1012,19.4
2021-11-11T11:55:00+05:30,80,15.9,41.4,3,16.1,100,1011,19.5
2021-11-11T13:16:00+05:30,86,16,25,3,8,100,1009,18.3
2021-11-11T13:31:00+05:30,87,16,25,2,8,100,1010.2,18.1
2021-11-11T14:31:00+05:30,90,16.4,22.6,1,6.4,100,1010.5,18
2021-11-11T15:31:00+05:30,90,18.1,17.6,1,6.4,100,1010.5,19.7
2021-11-11T17:30:00+05:30,96,18.8,20.5,0,6.4,100,1010.2,19.5
2021-11-11T18:55:00+05:30,90,17.8,20.7,0,6.4,100,1009,19.5
2021-11-11T20:05:00+05:30,87,17.2,20.9,0,6.4,100,1009,19.4
2021-11-11T20:56:00+05:30,98,17.7,9.3,0,6.4,100,1010,18
2021-11-11T21:55:00+05:30,82,16.3,20.7,0,6.4,100,1010,19.3
2021-11-11T22:35:00+05:30,82,16.3,20.7,0,6.4,100,1010,19.5
2021-11-11T23:35:00+05:30,80,16.2,20.5,0,4.8,100,1009,19.7
2021-11-12T00:41:00+05:30,88,17.8,7.4,0,4.8,100,1008.1,19.8
2021-11-12T01:21:00+05:30,81,16.4,18.8,0,4.8,100,1008.1,19.8
2021-11-12T08:30:00+05:30,82,18.1,17.1,1,16.1,94,1006.1,21.2
2021-11-12T09:25:00+05:30,82,18.1,18.1,1,16.1,94,1011,21.2
2021-11-12T10:25:00+05:30,81,17.9,17.7,3,16.1,94,1012,21.4
2021-11-12T11:26:00+05:30,78,17.6,17.1,3,9.7,94,1011,21.5
2021-11-12T12:30:00+05:30,92,20,0,2,9.7,100,1010,21.4
2021-11-12T13:26:00+05:30,83,18.5,12.4,3,6.4,100,1009,21.4
2021-11-12T14:25:00+05:30,84,18.8,9.2,2,6.4,100,1009,21.6
2021-11-12T15:26:00+05:30,93,19.8,3.7,1,6.4,100,1008,21
2021-11-12T16:21:00+05:30,87,19.5,5.8,1,6.4,100,1009,21.8
2021-11-12T17:26:00+05:30,88,19.5,6.4,0,16.1,100,1009,21.6
2021-11-12T20:16:00+05:30,88,19.2,6.2,0,4.8,100,1011,21.2
2021-11-12T20:30:00+05:30,89,19.2,6.2,0,4.8,100,1006.8,21
2021-11-12T21:25:00+05:30,98,20.7,5,0,9.7,100,1012,21
2021-11-12T22:25:00+05:30,87,18.8,5.6,0,16.1,99,1012,21
2021-11-12T23:26:00+05:30,87,18.7,5.6,0,16.1,99,1012,20.9
2021-11-13T00:31:00+05:30,98,20.7,0,0,16.1,100,1008.8,21
2021-11-13T01:26:00+05:30,87,18.8,3.6,0,16.1,99,1008.8,21
2021-11-13T02:16:00+05:30,87,19,3.6,0,16.1,99,1009.8,21.3
2021-11-13T12:46:00+05:30,86,20.8,7.2,5,16.1,76,1011,23.2
2021-11-13T13:26:00+05:30,80,19.6,6.2,2,3.2,98,1011,23.2
2021-11-13T15:26:00+05:30,86,21.2,4.3,2,9.7,88,1010,23.6
2021-11-13T15:26:00+05:30,86,21.2,4.3,2,9.7,88,1010,23.6
2021-11-13T16:26:00+05:30,80,20.4,4.3,1,4.8,96,1010,24
2021-11-13T17:26:00+05:30,85,20.9,3.8,0,8,98,1010,23.5
2021-11-13T18:31:00+05:30,94,21.4,2.8,0,6.4,88,1009.1,22.4
2021-11-13T20:11:00+05:30,93,20.7,5.1,0,4.8,100,1012,21.9
2021-11-13T20:31:00+05:30,96,20.7,5.1,0,4.8,100,1006.8,21.3
2021-11-13T21:31:00+05:30,100,21.3,5.6,0,4.8,88,1007.1,21.3
2021-11-13T22:26:00+05:30,93,20.2,7,0,4.8,100,1013,21.3
2021-11-13T23:31:00+05:30,93,20.1,8.3,0,3.2,100,1007.8,21.2
2021-11-14T00:26:00+05:30,96,21,8.3,0,3.2,100,1013,21.6
2021-11-14T01:31:00+05:30,91,19.8,9.4,0,3.2,100,1009.8,21.4
2021-11-14T10:31:00+05:30,80,19.6,7.3,2,6.4,100,1009.5,23.2
2021-11-14T13:06:00+05:30,72,17.3,6,3,8,100,1012,22.5
2021-11-14T13:26:00+05:30,72,17.3,6,3,8,100,1012,22.5
2021-11-14T15:41:00+05:30,83,22.3,5.6,2,8,76,1010,25.3
2021-11-14T16:26:00+05:30,79,21.5,4.5,1,8,100,1010,25.3
2021-11-14T17:16:00+05:30,85,21.7,2.6,0,4.8,100,1010,24.4
2021-11-14T18:16:00+05:30,85,21.6,0,0,4.8,100,1010,24.2
2021-11-14T19:16:00+05:30,92,21.2,2.3,0,4.8,100,1011,22.6
2021-11-14T19:21:00+05:30,92,21.2,2.3,0,4.8,100,1011,22.6
