Current Temperature,Temp Feels like,Minimum Temperature,Maximum Temperature,Pressure,Humidity,Weather Status,Description,Wind Speed,Cloudiness Percentage,Time
26.23,26.23,26.23,27.73,1011,78,Haze,haze,1.54,40,11/11/2021 18:11
23.23,24.06,23.23,23.73,1013,94,Drizzle,Little Drizzle,1.03,40,11/11/2021 19:12
23.23,24.06,23.23,23.73,1013,94,Drizzle,Little Drizzle,1.03,40,11/11/2021 20:18
23.22,23.23,23.1,23.36,1011,78,Haze,haze,1.54,40,11/11/2021 21:11
21.11,21.23,21.11,21.35,1009,73,Mist,Mist,2.23,20,11/12/2021 2:00
21.11,21.23,21.11,21.35,1009,78,Mist,Mist,2.23,20,11/12/2021 3:00
22.22,22.19,22.1,22.35,1006,78,Mist,Mist,2.23,20,11/12/2021 4:00
23.88,23.01,23.01,23.88,1009,78,Mist,Mist,2.23,30,11/12/2021 5:00
23.88,24.01,23.65,24.13,1011,83,Haze,Haze,2.23,70,11/12/2021 6:01
25.01,25.01,24.65,25.31,1006,83,Haze,Haze,2.23,75,11/12/2021 7:01
25.01,25.03,24.65,25.31,1006,78,Haze,Haze,2.23,75,11/12/2021 8:04
23.88,24.01,23.65,24.13,1011,89,Drizzle,Little Drizzle,0.89,75,11/12/2021 9:05
26.11,26.11,26.11,26.89,1009,74,Haze,Haze,0,75,11/12/2021 10:03
25.23,25.98,25.23,26.73,1010,83,Haze,haze,1.34,75,11/12/2021 11:03
23.73,24.61,23.73,23.73,1012,83,Haze,Haze,0.89,75,11/12/2021 12:04
23.73,24.61,23.73,23.73,1012,83,Haze,Haze,0.89,75,11/12/2021 13:04
22.77,22.96,22.23,24.73,1015,88,Haze,Haze,0.44,75,11/12/2021 14:05
26.23,26.23,26.23,28.73,1009,73,Haze,haze,2.06,40,11/15/2021 15:02
26.23,26.23,26.23,27.73,1009,73,Haze,haze,2.06,40,11/15/2021 16:04
24.23,24.75,24.23,25.73,1014,78,Mist,mist,2.06,75,11/15/2021 17:04
24.23,24.75,24.23,25.73,1014,78,Mist,mist,2.06,75,11/15/2021 18:07
24.23,25.01,24.23,24.73,1012,88,Haze,haze,2.06,40,11/15/2021 19:08
24.23,25.01,24.23,24.73,1012,88,Haze,haze,2.06,40,11/15/2021 20:01
22.23,22.96,22.23,22.73,1013,94,Drizzle,Little Drizzle,1.03,75,11/13/2021 7:00
22.23,22.96,22.23,22.73,1013,94,Drizzle,drizzle,1.03,75,11/13/2021 8:09
22.23,22.96,22.23,23.73,1014,94,Drizzle,Little Drizzle,1.03,75,11/13/2021 9:03
22.23,22.96,22.23,24.73,1015,94,Drizzle,drizzle,2.57,75,11/13/2021 10:07
24.23,25.01,24.23,24.73,1014,88,Haze,haze,2.57,75,11/13/2021 11:09
24.23,25.16,24.23,25.73,1014,94,Haze,haze,2.57,75,11/13/2021 12:08
26.23,26.23,25.73,26.23,1013,83,Haze,haze,2.57,75,11/13/2021 13:03
27.23,31.28,26.73,27.23,1012,89,Haze,haze,2.57,40,11/13/2021 14:01
27.23,29.64,27.23,27.73,1011,74,Haze,haze,2.57,40,11/13/2021 15:01
27.23,29.64,27.23,27.73,1011,74,Haze,haze,2.57,40,11/13/2021 15:22
26.23,26.23,26.23,27.73,1011,78,Haze,haze,2.57,40,11/13/2021 16:02
26.23,26.23,26.23,27.73,1011,78,Haze,haze,1.54,40,11/13/2021 17:03
26.23,26.23,26.23,27.73,1011,78,Haze,haze,1.54,40,11/13/2021 18:11
23.23,24.06,23.23,23.73,1013,94,Haze,haze,1.03,40,11/13/2021 19:12
23.23,24.06,23.23,23.73,1013,94,Haze,haze,1.03,40,11/13/2021 20:18
22.23,22.96,22.23,25.73,1014,94,Mist,mist,1.03,75,11/14/2021 8:55
24.23,25.01,24.23,26.73,1015,88,Haze,haze,2.57,75,11/14/2021 9:53
25.23,25.98,25.23,27.73,1015,83,Haze,haze,1.54,75,11/14/2021 10:53
25.23,25.98,25.23,28.73,1014,83,Haze,haze,2.57,75,11/14/2021 11:57
25.23,25.98,25.23,27.73,1014,83,Haze,haze,1.03,75,11/14/2021 12:57
27.23,29.64,27.23,28.73,1013,74,Haze,haze,1.54,75,11/14/2021 13:57
28.23,30.98,27.73,28.23,1011,69,Haze,haze,2.57,75,11/14/2021 14:56
28.23,30.98,28.23,28.73,1011,69,Haze,haze,1.03,40,11/14/2021 15:58
27.23,29.64,26.73,27.23,1011,74,Haze,haze,1.03,40,11/14/2021 16:58
26.23,26.23,26.23,26.73,1011,78,Haze,haze,1.03,75,11/14/2021 17:52
25.23,25.98,25.23,25.73,1012,83,Haze,haze,0.51,40,11/14/2021 18:58
24.23,25.01,24.23,25.73,1013,88,Haze,haze,0.51,40,11/14/2021 19:58
24.23,25.01,24.23,24.73,1014,88,Haze,haze,1.03,40,11/14/2021 20:58
24.23,25.01,24.23,24.73,1014,88,Haze,haze,0.51,40,11/14/2021 22:00
24.23,25.01,23.73,24.23,1014,88,Haze,haze,0,20,11/14/2021 23:00
22.23,22.96,22.23,23.73,1013,94,Drizzle,Little Drizzle,1.03,75,11/15/2021 7:59
24.23,25.16,24.23,24.73,1014,94,Drizzle,Little Drizzle,2.57,75,11/15/2021 8:53
24.23,25.01,24.23,24.73,1014,88,Haze,haze,2.57,75,11/15/2021 9:58
24.23,25.01,24.23,24.73,1014,88,Haze,haze,2.57,75,11/15/2021 10:59
26.23,26.23,26.23,26.73,1013,78,Haze,haze,2.57,75,11/15/2021 12:02
28.23,31.71,27.73,28.23,1013,74,Haze,haze,2.57,75,11/15/2021 12:59
27.23,29.64,27.23,30.73,1010,74,Haze,haze,2.57,75,11/15/2021 14:00
27.23,29.64,27.23,28.73,1010,74,Haze,haze,2.57,75,11/15/2021 15:07
26.23,26.23,26.23,28.73,1009,73,Haze,haze,2.06,40,11/15/2021 16:02
26.23,26.23,26.23,27.73,1009,73,Haze,haze,2.06,40,11/15/2021 17:54
24.23,24.75,24.23,25.73,1014,78,Mist,mist,2.06,75,11/15/2021 19:36
24.23,25.01,24.23,24.73,1012,88,Haze,haze,2.06,40,11/15/2021 20:28
24.23,25.01,24.23,24.73,1012,88,Haze,haze,2.06,40,11/15/2021 21:41
24.23,25.01,24.23,24.73,1013,88,Haze,haze,1.54,40,11/15/2021 22:32
23.73,24.61,23.73,23.73,1012,94,Mist,mist,2.06,75,11/16/2021 7:28
22.23,22.96,22.23,23.73,1013,94,Mist,mist,2.06,75,11/16/2021 8:18
23.73,24.61,23.73,23.73,1012,94,Mist,mist,2.06,75,11/16/2021 9:18
23.23,24.06,23.23,25.73,1014,94,Haze,haze,2.06,75,11/16/2021 10:18
25.23,25.98,25.23,25.73,1014,83,Haze,haze,2.06,75,11/16/2021 11:00
24.23,25.01,24.23,25.73,1014,88,Haze,haze,2.57,75,11/16/2021 11:53
24.23,25.01,24.23,28.73,1013,88,Haze,haze,2.06,75,11/16/2021 12:49
25.23,25.98,25.23,28.73,1011,83,Haze,haze,2.06,75,11/16/2021 13:48
26.23,26.23,26.23,28.73,1011,78,Haze,haze,2.57,75,11/16/2021 14:02
26.23,26.23,26.23,28.73,1011,78,Haze,haze,2.57,75,11/16/2021 14:18
26.23,26.23,26.23,29.73,1011,78,Haze,haze,2.06,40,11/16/2021 14:42
26.23,26.23,26.23,29.73,1011,78,Haze,haze,2.06,40,11/16/2021 15:50
26.23,26.23,26.23,28.73,1010,78,Haze,haze,2.06,75,11/16/2021 16:37
25.23,25.98,25.23,26.73,1010,83,Haze,haze,1.54,75,11/16/2021 17:39
25.23,25.98,25.23,25.73,1012,83,Rain,heavy intensity rain,1.54,75,11/16/2021 18:35
24.23,25.01,23.73,24.23,1013,88,Rain,heavy intensity rain,1.54,75,11/16/2021 19:39
23.23,24.06,23.23,23.73,1013,94,Drizzle,light intensity drizzle,0,75,11/16/2021 20:37
22.23,23.12,22.23,23.73,1014,100,Drizzle,light intensity drizzle,1.54,75,11/16/2021 21:41
22.23,23.12,22.23,23.73,1014,100,Mist,mist,1.03,75,11/16/2021 22:29
22.73,23.67,22.73,22.73,1014,100,Drizzle,light intensity drizzle,4.63,75,11/17/2021 8:15
24.73,25.71,24.73,24.73,1015,94,Mist,mist,4.63,75,11/17/2021 9:24
25.73,26.66,25.73,25.73,1015,88,Mist,mist,5.14,75,11/17/2021 10:29
26.73,29,26.73,26.73,1015,78,Mist,mist,5.14,75,11/17/2021 11:45
26.73,29,26.73,26.73,1015,78,Mist,mist,5.14,75,11/17/2021 12:35
27.73,30.64,27.73,27.73,1014,74,Mist,mist,3.09,75,11/17/2021 13:32
27.73,30.64,27.73,27.73,1013,74,Mist,mist,3.6,75,11/17/2021 14:05
27.73,30.64,27.73,27.73,1013,74,Mist,mist,3.6,75,11/17/2021 14:33
28.73,35.73,28.73,28.73,1013,94,Mist,mist,3.09,75,11/17/2021 15:20
26.23,26.23,26.23,27.73,1012,78,Clouds,scattered clouds,1.54,40,11/17/2021 16:31
26.23,26.23,26.23,27.73,1012,78,Clouds,scattered clouds,2.06,40,11/17/2021 17:18
26.23,26.23,26.23,27.73,1012,78,Clouds,scattered clouds,2.06,40,11/17/2021 17:33
25.23,25.98,25.23,26.73,1013,83,Clouds,scattered clouds,1.54,40,11/17/2021 18:41
25.23,25.98,25.23,25.73,1014,83,Rain,light rain,1.54,40,11/17/2021 19:18
25.23,25.98,24.73,25.23,1014,83,Clouds,scattered clouds,1.54,40,11/17/2021 19:33
24.23,25.01,24.23,24.73,1015,88,Clouds,scattered clouds,1.54,40,11/17/2021 20:10
23.23,24.06,23.23,24.73,1015,94,Clouds,scattered clouds,1.54,40,11/17/2021 20:58
22.21,23.45,22.21,23.45,1011,90,Clouds,scattered clouds,1.49,45,11/17/2021 21:58
22.22,23.01,22.21,23.01,1009,100,Haze,Haze,0,40,11/18/2021 2:02
22.78,23.01,22.78,23.01,1009,100,Haze,Haze,0,40,11/18/2021 3:02
23.88,23.78,23.88,23.78,1008,89,Haze,Haze,0,40,11/18/2021 4:02
23.88,23.78,23.89,23.78,1011,89,Haze,Haze,0.44,50,11/18/2021 5:02
25.01,25.11,25.02,25.11,1009,83,Clouds,scattered clouds,0.85,60,11/18/2021 6:02
23.88,23.85,23.93,23.85,1010,94,Drizzle,Little Drizzle,0.44,70,11/18/2021 6:32
22.23,23.12,22.23,23.73,1015,100,Haze,haze,0,75,11/18/2021 7:02
