City,Temperature,Pressure,Humidity,Wind speed,Wind gust,Cloudiness Percentage,Weather status,Time
Chennai,297.57,1007,93,2.68,8.49,90,Mist,11-11-2021 19.19
Chennai,297.57,1007,93,2.68,8.49,90,Mist,11-11-2021 20.11
Chennai,298.13,1009,94,1.79,4.02,90,Drizzle,11-11-2021 21.29
Chennai,298.13,1009,94,1.79,4.02,90,Drizzle,11-11-2021 21.54
Chennai,303.13,1009,80,0.45,3.58,40,Clouds,12-11-2021 13.24
Chennai,303.13,1009,80,0.45,3.58,40,Clouds,12-11-2021 14.06
Chennai,302.57,1008,81,1.34,3.58,40,Clouds,12-11-2021 14.24
Chennai,302.57,1008,81,1.34,3.58,40,Clouds,12-11-2021 14.54
Chennai,302.57,1008,81,2.24,4.92,40,Clouds,12-11-2021 15.24
Chennai,302.57,1008,81,2.24,4.92,40,Clouds,12-11-2021 15.54
Chennai,301.46,1008,83,2.24,5.81,40,Clouds,12-11-2021 16.24
Chennai,301.46,1008,83,2.24,5.81,40,Clouds,12-11-2021 16.54
Chennai,300.35,1009,86,1.34,4.02,40,Clouds,12-11-2021 17.24
Chennai,300.35,1009,86,1.34,4.02,40,Clouds,12-11-2021 17.54
Chennai,300.35,1010,87,0.89,3.13,40,Mist,12-11-2021 18.24
Chennai,300.35,1010,87,0.89,3.13,40,Mist,12-11-2021 18.54
Chennai,303.13,1012,79,1.34,4.02,75,Haze,13-11-2021 12.24
Chennai,303.13,1012,79,1.34,4.02,75,Haze,13-11-2021 12.54
Chennai,303.13,1010,81,1.79,4.47,75,Haze,13-11-2021 15.24
Chennai,303.13,1010,81,1.79,4.47,75,Haze,13-11-2021 15.54
Chennai,302.02,1010,82,0.45,1.79,75,Haze,13-11-2021 16.24
Chennai,302.02,1010,82,0.45,1.79,75,Mist,13-11-2021 17.04
Chennai,301.46,1010,84,0.45,4.02,75,Mist,13-11-2021 17.24
Chennai,301.46,1010,84,0.45,4.02,75,Mist,13-11-2021 17.54
Chennai,303.69,1011,82,1.79,4.47,40,Clouds,14-11-2021 13.48
Chennai,303.69,1011,82,1.79,4.47,40,Clouds,14-11-2021 14.07
Chennai,302.02,1011,84,1.79,3.13,40,Mist,14-11-2021 18.09
Chennai,300.91,1013,89,0,0,75,Mist,15-11-2021 0.44
Chennai,300.91,1012,90,0,1.03,75,Mist,15-11-2021 1.54
Chennai,300.35,1012,92,0,0,75,Drizzle,15-11-2021 11.19
Chennai,300.35,1012,92,0,0,75,Drizzle,15-11-2021 11.35
Chennai,300.35,1012,92,0,0,75,Drizzle,15-11-2021 12.07
Chennai,300.91,1011,91,0,0,75,Drizzle,15-11-2021 12.37
Chennai,300.91,1011,91,1.03,0,75,Drizzle,15-11-2021 13.07
"Chennai","300.91","1010","89","0.45","2.68","75","Drizzle",2021-11-15 13:59:22
"Chennai","300.91","1010","89","0.45","2.68","75","Mist",2021-11-15 14:07:07
"Chennai","300.91","1010","89","0.45","2.68","75","Mist",2021-11-15 14:07:09
"Chennai","301.46","1008","86","2.57","0","75","Clouds",2021-11-15 15:07:07
"Chennai","301.46","1008","86","2.57","0","75","Clouds",2021-11-15 15:07:08
"Chennai","301.46","1008","86","2.06","0","75","Thunderstorm",2021-11-15 15:37:07
"Chennai","301.46","1008","86","2.06","0","75","Thunderstorm",2021-11-15 15:37:08
"Chennai","301.46","1008","86","2.06","0","75","Thunderstorm",2021-11-15 16:07:07
"Chennai","301.46","1008","86","2.06","0","75","Thunderstorm",2021-11-15 16:07:08
"Chennai","302.02","1008","83","1.03","0","75","Mist",2021-11-15 16:37:07
"Chennai","302.02","1008","83","1.03","0","75","Mist",2021-11-15 16:37:09
"Chennai","302.02","1008","83","1.03","0","75","Mist",2021-11-15 17:07:07
"Chennai","302.02","1008","83","1.03","0","75","Mist",2021-11-15 17:07:08
"Chennai","301.46","1008","85","1.03","0","40","Mist",2021-11-15 17:37:07
"Chennai","301.46","1008","85","1.03","0","40","Mist",2021-11-15 17:37:08
"Chennai","301.46","1008","85","1.03","0","40","Mist",2021-11-15 18:07:07
