location.name,current.last_updated_epoch,current.last_updated,current.temp_c,current.condition.text,current.wind_mph,current.pressure_in,current.precip_mm,current.humidity
Mumbai,1629393300,19-08-2021 22:45,25,Mist,0,29.74,0.1,94
Mumbai,1629394200,19-08-2021 23:00,25,Mist,0,29.74,0.1,94
Mumbai,1629437400,20-08-2021 11:00,26,Light rain,11.9,29.74,1.1,89
Mumbai,1629441900,20-08-2021 12:15,27,Light rain,11.9,29.74,0.8,89
Mumbai,1629449100,20-08-2021 14:15,26,Moderate or heavy rain shower,11.9,29.71,0,94
Mumbai,1629463500,20-08-2021 18:15,25,Torrential rain shower,4.3,29.68,0.1,100
Mumbai,1629469800,20-08-2021 20:00,26,Moderate or heavy rain shower,4.3,29.71,0,94
Mumbai,1629474300,20-08-2021 21:15,25,Light rain,3.8,29.74,0,94
Mumbai,1629504900,21-08-2021 05:45,25,Torrential rain shower,10.5,29.71,1.8,100
Mumbai,1629509400,21-08-2021 07:00,24,Light rain,6.9,29.71,4.1,100
Mumbai,1629515700,21-08-2021 08:45,25,Torrential rain shower,5.6,29.77,5.2,100
Mumbai,1629516600,21-08-2021 09:00,25,Torrential rain shower,5.6,29.77,5.8,100
Mumbai,1629520200,21-08-2021 10:00,25,Torrential rain shower,5.6,29.77,6.3,100
Mumbai,1629524700,21-08-2021 11:15,25,Moderate or heavy rain shower,13.6,29.8,7.9,100
Mumbai,1629528300,21-08-2021 12:15,26,Moderate or heavy rain shower,11.9,29.77,12.9,94
Mumbai,1629531000,21-08-2021 13:00,26,Mist,11.9,29.77,18,94
Mumbai,1629537300,21-08-2021 14:45,26,Mist,11.9,29.74,23,100
Mumbai,1629538200,21-08-2021 15:00,26,Mist,11.9,29.74,24.5,100
Mumbai,1629541800,21-08-2021 16:00,26,Light rain,13.6,29.74,26,100
Mumbai,1629560700,21-08-2021 21:15,26,Mist,5.6,29.77,3.2,94
Mumbai,1629562500,21-08-2021 21:45,26,Mist,3.8,29.77,3.2,94
Mumbai,1629563400,21-08-2021 22:00,26,Mist,3.8,29.77,2.7,94
Mumbai,1629566100,21-08-2021 22:45,27,Mist,4.3,29.8,2.7,89
Mumbai,1629598500,22-08-2021 07:45,26,Mist,4.3,29.77,0.6,94
Mumbai,1629599400,22-08-2021 08:00,26,Mist,4.3,29.77,0.7,94
Mumbai,1629603000,22-08-2021 09:00,27,Mist,8.1,29.8,0.6,89
Mumbai,1629612000,22-08-2021 11:30,29,Mist,8.1,29.77,0.4,79
Mumbai,1629618300,22-08-2021 13:15,28,Overcast,12.5,29.77,0.7,84
Mumbai,1629621000,22-08-2021 14:00,27,Mist,9.4,29.77,1,89
Mumbai,1629630900,22-08-2021 16:45,28,Mist,4.3,29.71,1.1,84
Mumbai,1629631800,22-08-2021 17:00,28,Mist,4.3,29.71,0.2,84
Mumbai,1629634500,22-08-2021 17:45,28,Mist,8.1,29.71,0.2,79
Mumbai,1629638100,22-08-2021 18:45,28,Mist,6.9,29.71,0.2,84
