S.NO,EMAIL FROM,REPLY-TO,TO,DATE,TIME,SUBJECT,MAILING LIST,MAILED -BY,SUBSCRIBED OR NOT,NO.OF ATTATCHCHMENT FILES,CC,signed by,,
1,Dataquest <hello@dataquest.io>,hello@dataquest.io,kothabrinda.vivek2019@vitstudent.ac.in,Nov-10, 1:31 AM,What's New: AI Finds Our Ghost Ancestor,<spc.274991.0.sparkpostmail.com>,bounces.dataquest.io,yes,0,,,,
2,Director Student Welfare' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-10,07:30 AM,10th November - Today's Online events by Clubs and Chapters-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,1,,,,
3,Chairperson VITBS' via 19bds@vitstudent.ac.in,chairperson.vitbs@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-10,07:46 AM,Free python course on udemy,19bds@vitstudent.ac.i,vitstudent.ac.in,no,0,,,,
4,19bds@vitstudent.ac.in,dean.smec@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-10,07:46 AM,Fw: CERTIFICATE OF APPRECIATION BY SOLVED CHALLENGE,19bds@vitstudent.ac.in,vitstudent.ac.in,no,1,"smec@vit.ac.in,msharmila@vit.ac.in",,,
5,'Director Physical Education' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sports@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-10,07:46 AM,Congratulations,19bds@vitstudent.ac.in,vitstudent.ac.in,no,1,,,,
6,'VITTBI Vellore' via 19bds@vitstudent.ac.in,vittbi@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-10,09:47 AM,FW: Internship Opportunities at Kleiba - startup project under pre-incubation at VITTBI,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
7,'VITTBI Vellore' via 19bds@vitstudent.ac.in ,vittbi@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-10,09:47 AM,FW: Online workshop on Analytical Instruments on 27th Nov'21 - VITTBI,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
8,Akansha Jain <support@codingblocks.com>,support@codingblocks.com,kothabrinda.vivek2019@vitstudent.ac.in,Nov-10,03:49 PM,Alert: Big Learning Festival Extended Ends Tonight,,amazonses.com,yes,1,,codingblocks.com,,
9,'VIT Placement' via 19bds@vitstudent.ac.in,placement@vit.ac.in,"19bba@vitstudent.ac.in,20bba@vitstudent.ac.in,19bcc@vitstudent.ac.in,20bcc@vitstudent.ac.in,19bca@vitstudent.ac.in,19bcs@vitstudent.ac.in,19bam@vitstudent.ac.in,20bca@vitstudent.ac.in,20bcs@vitstudent.ac.in,20bam@vitstudent.ac.in,dean.vaial@vit.ac.in,20BIT@vitstudent.ac.in,20bce@vitstudent.ac.in,20bcb@vitstudent.ac.in,20bci@vitstudent.ac.in,20BBS@vitstudent.ac.in,20BDS@vitstudent.ac.in,20BCT@vitstudent.ac.in,20bec@vitstudent.ac.in,20bee@vitstudent.ac.in,20bml@vitstudent.ac.in,20bme@vitstudent.ac.in,20bcl@vitstudent.ac.in,20bcm@vitstudent.ac.in,20bma@vitstudent.ac.in,20bpi@vitstudent.ac.in,20bbt@vitstudent.ac.in,19BIT@vitstudent.ac.in,19bce@vitstudent.ac.in,19bcb@vitstudent.ac.in,19bci@vitstudent.ac.in,19BBS@vitstudent.ac.in,19BDS@vitstudent.ac.in,19BCT@vitstudent.ac.in,19bec@vitstudent.ac.in,19bee@vitstudent.ac.in,19bml@vitstudent.ac.in,19bme@vitstudent.ac.in,19bcl@vitstudent.ac.in,19bcm@vitstudent.ac.in,19bma@vitstudent.ac.in,19bpi@vitstudent.ac.in,19bbt@vitstudent.ac.in,vitians02022@googlegroups.com""",Nov-10,05:52 PM,CAREER COUNSELLING -VIT-CDC- 'CAREER CLAIRVOYANCE 2021 - TODAY - NOVEMBER 10- 6.30-8.00pm - reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
10,'VIT Placement' via 19bds@vitstudent.ac.in,placement@vit.ac.in,"20bbt@vitstudent.ac.in,19BIT@vitstudent.ac.in,19bce@vitstudent.ac.in,19bcb@vitstudent.ac.in,19bci@vitstudent.ac.in,19BBS@vitstudent.ac.in,19BDS@vitstudent.ac.in,19BCT@vitstudent.ac.in,19bec@vitstudent.ac.in,19bee@vitstudent.ac.in,19bml@vitstudent.ac.in,19bme@vitstudent.ac.in,19bcl@vitstudent.ac.in,19bcm@vitstudent.ac.in,19bma@vitstudent.ac.in,19bpi@vitstudent.ac.in,19bbt@vitstudent.ac.in,vitians02022@googlegroups.com""
",Nov-10,05:52 PM,CAREER COUNSELLING -VIT-CDC- 'CAREER CLAIRVOYANCE 2021 - TOMORROW - NOVEMBER 11 - 6.30 -8.00pm-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
11,Director Student Welfare' via 19bds@vitstudent.ac.in ,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,10-Nov,07:59 PM,University Certificate - Reg,19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
12,'VIT Placement' via 19bds@vitstudent.ac.in,placement@vit.ac.in,"19BIT@vitstudent.ac.in,19bce@vitstudent.ac.in,19bcb@vitstudent.ac.in,19bci@vitstudent.ac.in,19BBS@vitstudent.ac.in,19BDS@vitstudent.ac.in,19BCT@vitstudent.ac.in,19bec@vitstudent.ac.in,19bee@vitstudent.ac.in,19bml@vitstudent.ac.in,19bme@vitstudent.ac.in,19bcl@vitstudent.ac.in,19bcm@vitstudent.ac.in,19bma@vitstudent.ac.in,19bpi@vitstudent.ac.in,19bbt@vitstudent.ac.in",11-Nov,09:18 AM,ION NEXT ROUND OF SELECTION PROCESS IS SCHEDULED ON 11th NOV,19bds@vitstudent.ac.in ,vitstudent.ac.in,,0,,,,
13,"'Dr.C.Vijay Kumar, Director (IR)' via 19bds@vitstudent.ac.in",director.ir@vit.ac.in,allstudents.vellore@vit.ac.in,11-Nov,09:58 AM,"Master class on ""Serious Fun: How You Can Use Gaming Technologies To Make a Real Difference"" - 11th Nov. 2021 -12 PM to 1 PM (IST) - Reg.",19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
14,"'Director, Automotive Research Centre' via 19bds@vitstudent.ac.in",director.arc@vit.ac.in,allstudents.vellore@vit.ac.in,11-Nov,10:08 AM,Joint VIT-BU Webinar Series-Autonomous Systems-C-ITS for Accident Detection and Avoidance System for VRUs-Session 5,19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
15,'VITTBI Vellore' via 19bds@vitstudent.ac.in,vittbi@vit.ac.in,"allfaculty@vit.ac.in,allstudents.vellore@vit.ac.in,allra@vit.ac.i",11-Nov,11:23 AM,FW: OPEN HOUSE for Applicants to Cohort 19 of I-NCUBATE program of GDC,19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
16,"'Dr.C.Vijay Kumar, Director (IR)' via 19bds@vitstudent.ac.in",director.ir@vit.ac.in,allstudents.vellore@vit.ac.in,11-Nov,11:31 AM,"INDO-UK HIGHER EDUCATION & CAREERS SUMMIT - 11 NOV, 2021",19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
17,'VIT Placement' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,placement@vit.ac.in,"19BIT@vitstudent.ac.in,19bce@vitstudent.ac.in,19bcb@vitstudent.ac.in,19bci@vitstudent.ac.in,19BBS@vitstudent.ac.in,19BDS@vitstudent.ac.in,19BCT@vitstudent.ac.in,othercampusemail@googlegroups.com",11-Nov,11:33 AM,Microsoft Summer internship Registration 2023 Batch,19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
18,'Director Student Welfare' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,11-Nov,12:06 PM,Quanta: The annual clubs and chapters expo-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
19,'VIT Placement' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,placement@vit.ac.in,"19BIT@vitstudent.ac.in,19bce@vitstudent.ac.in,19bcb@vitstudent.ac.in,19bci@vitstudent.ac.in,19BBS@vitstudent.ac.in,19BDS@vitstudent.ac.in,19BCT@vitstudent.ac.in,19bec@vitstudent.ac.in,19bee@vitstudent.ac.in,19bml@vitstudent.ac.in,othercampusemail@googlegroups.com",11-Nov,12:15 PM,?Wellsfargo Online Test is Scheduled on 11th November 2021 by 02:00 pm,19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
20,"Dr.C.Vijay Kumar, Director (IR)' via 19bds@vitstudent.ac.in",director.ir@vit.ac.in,"allstudents.vellore@vit.ac.in,allstudents.chennai",11-Nov,03:29 PM,"Information session on ""Technology Leadership and Entrepreneurship and its Global Prospects"" by HONG KONG University of Science and Technology: reg",19bds@vitstudent.ac.in,vitstudent.ac.in,,0,,,,
21,FutureSkills Prime <do-not-reply@mails.futureskillsprime.in>,,kothabrinda.vivek2019@vitstudent.ac.in,11-Nov,04:18 PM,"Brinda Vivek Kotha, Subsidise Your Learning & Future Proof Your Career! Thank Us Later",em5179.mails.futureskillsprime.in,,yes,0,,,,
22,"'Dr.C.Vijay Kumar, Director (IR)' via 19bds@vitstudent.ac.in",director.ir@vit.ac.in,"allfaculty@vit.ac.in,allstudents.vellore@vit.ac.in,allra@vit.ac.i",11-Nov,05:52 PM,"VIT-IR-SBST- Purdue University , USA joint webinar series - 17 November ,Wedesday 2021 at 19.30 hrs",19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,"iro@vit.ac.in,irc@vitbhopal.ac.in",,,
23,'Director Student Welfare' via 19bds@vitstudent.ac.in ,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,11-Nov,08:34 PM,International Cyber Security conference-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,ad.systems@vit.ac.in,,,
24,Coding Ninjas <contact@emailer.codingninjas.in>,,kothabrinda.vivek2019@vitstudent.ac.in,11-Nov,09:36 PM,Register for India’s Largest Coding Bootcamp - Career Camp Now!,,amazonses.com,yes,0,,,,
25,'Dean SCOPE' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,dean.scope@vit.ac.in,allstudents.scope@vit.ac.in,12-Nov,07:58 AM,Fw: Alumni Interactive Session (Exclusively for UPSC Aspirants) - Event Date & Time : 17th Nov 2021 from 11:30 AM to 12:30,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
26,"VIT University, Vellore Moodle Admin Team (via VIT LMS) <noreply.moovit@vit.ac.in>",noreply.moovit@vit.ac.in,,12-Nov,08:11 AM,You have upcoming activities due,,vit.ac.in,no,1,,,,
27,'Director Student Welfare' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,12-Nov,08:17 AM,12th November - Today's Online events by Clubs and Chapters-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
28,Priyanka Sahai <contact@emailer.codingninjas.in,contact@codingninjas.com,kothabrinda.vivek2019@vitstudent.ac.in,12-Nov,06:11 PM,"With love from me to you, KOTHA",,amazonses.com,no,0,,emailer.codingninjas.in,,
29,FutureSkills Prime <do-not-reply@mails.futureskillsprime.in>,kothabrinda.vivek2019@vitstudent.ac.in,,,07:00 PM,Are You a Coding Enthusiast? Participate in Code Kaze by Coding Ninjas,,em5179.mails.futureskillsprime.in,yes,0,,mails.futureskillsprime.in,,
30,'Director Student Welfare' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-13,10:00 AM,Quanta Day 1 Links-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
31,Coding Ninjas <contact@emailer.codingninjas.in>,contact@codingninjas.com,kothabrinda.vivek2019@vitstudent.ac.in,Nov-13,06:21 PM,"KOTHA, India’s Biggest Coding Competition is closing registration in 1 day",,amazonses.com,yes,0,,emailer.codingninjas.in,,
32,Muskan Kathuria <noreply@codingninjas.in>,muskan.kathuria@codingninjas.com,kothabrinda.vivek2019@vitstudent.ac.in,Nov-13,06:36 PM,[Urgent]100+ students from your campus have already registered | Don't miss out,MjA5NTA0Mi0zMTU3MDM2LTMwNzc= <MjA5NTA0Mi0zMTU3MDM2LTMwNzc=.list-id.emails.codingninjas.in>,emails.codingninjas.in,no,0,,codingninjas.in,,spam
33,'VIT Placement' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,placement@vit.ac.in,"19BIT@vitstudent.ac.in,19bce@vitstudent.ac.in,19bcb@vitstudent.ac.in,19bci@vitstudent.ac.in,19BBS@vitstudent.ac.in,19BDS@vitstudent.ac.in,19BCT@vitstudent.ac.in,19bec@vitstudent.ac.in,19bee@vitstudent.ac.in,19bml@vitstudent.ac.in,othercampusemail@googlegroups.com",Nov-13,09:36 PM,Congratulations !! Wellsfargo summer Internship Selection List !!,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
34,'Director Student Welfare' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-14,08:43 AM,14th November - Today's Online events by Clubs and Chapters-reg,19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
35,'Director Student Welfare' via 19bds@vitstudent.ac.in <19bds@vitstudent.ac.in>,director.sw@vit.ac.in,allstudents.vellore@vit.ac.in,Nov-14,10:10 AM,"Quanta- Day-2 Session3,4&5 -links",19bds@vitstudent.ac.in,vitstudent.ac.in,no,0,,,,
