time_epoch,temp_c,condition.text,wind_kph,pressure_mb,precip_mm,humidity,location,time
1636741865,24.3,Cloudy,9.7,1012,0,50,Kolkata,12-11-2021 18:31
1636745400,24,Cloudy,9.5,1012,0,51,Kolkata,12-11-2021 19:30
1636749000,23.8,Patchy rain possible,9.2,1011,0.03,53,Kolkata,12-11-2021 20:30
1636752600,23.5,Patchy rain possible,9,1011,0.04,54,Kolkata,12-11-2021 21:30
1636756200,23.4,Patchy rain possible,9.1,1012,0.02,56,Kolkata,12-11-2021 22:30
1636759800,23.2,Overcast,9.2,1012,0,57,Kolkata,12-11-2021 23:30
1636763400,23.1,Overcast,9.4,1013,0,59,Kolkata,13-11-2021 00:30
1636767000,23.4,Overcast,8.9,1013,0,59,Kolkata,13-11-2021 01:30
1636770600,23.8,Overcast,8.4,1014,0,58,Kolkata,13-11-2021 02:30
1636774200,24.1,Overcast,7.9,1014,0,57,Kolkata,13-11-2021 03:30
1636777800,24.7,Overcast,7.3,1013,0,56,Kolkata,13-11-2021 04:30
1636781400,25.2,Overcast,6.7,1012,0,56,Kolkata,13-11-2021 05:30
1636785000,25.8,Overcast,6.1,1011,0,55,Kolkata,13-11-2021 06:30
1636788600,25.6,Overcast,5.5,1011,0,55,Kolkata,13-11-2021 07:30
1636792200,25.3,Cloudy,4.9,1010,0,56,Kolkata,13-11-2021 08:30
1636795800,25.1,Cloudy,4.3,1010,0,56,Kolkata,13-11-2021 09:30
1636799400,25,Cloudy,3,1010,0,57,Kolkata,13-11-2021 10:30
1636803000,24.9,Partly cloudy,1.7,1011,0,57,Kolkata,13-11-2021 11:30
1636806600,24.8,Partly cloudy,0.4,1011,0,57,Kolkata,13-11-2021 12:30
1636810200,24.5,Partly cloudy,2.5,1011,0.01,57,Kolkata,13-11-2021 13:30
1636813800,24.1,Partly cloudy,4.7,1012,0,58,Kolkata,13-11-2021 14:30
1636817400,23.8,Partly cloudy,6.8,1012,0,58,Kolkata,13-11-2021 15:30
1636821000,23.2,Partly cloudy,6.6,1012,0,62,Kolkata,13-11-2021 16:30
1636824600,22.6,Light rain shower,6.4,1012,0.07,65,Kolkata,13-11-2021 17:30
1636828200,22,Light rain shower,6.1,1012,0.09,69,Kolkata,13-11-2021 18:30
1636831800,21.9,Light rain shower,6.4,1012,0.04,70,Kolkata,13-11-2021 19:30
1636835400,21.9,Patchy rain possible,6.6,1011,0.03,72,Kolkata,13-11-2021 20:30
1636839000,21.8,Patchy rain possible,6.8,1011,0.04,73,Kolkata,13-11-2021 21:30
1636842600,21.7,Patchy rain possible,6.8,1012,0.02,73,Kolkata,13-11-2021 22:30
1636846200,21.7,Overcast,6.8,1012,0,73,Kolkata,13-11-2021 23:30
1636849800,21.6,Overcast,6.8,1013,0,73,Kolkata,14-11-2021 00:30
1636853400,22,Overcast,5.8,1013,0,71,Kolkata,14-11-2021 01:30
1636857000,22.3,Overcast,4.7,1014,0,69,Kolkata,14-11-2021 02:30
1636860600,22.7,Overcast,3.6,1014,0,67,Kolkata,14-11-2021 03:30
1636864200,22.8,Overcast,4.1,1013,0,67,Kolkata,14-11-2021 04:30
1636867800,23,Partly cloudy,4.6,1012,0,67,Kolkata,14-11-2021 05:30
1636871400,23.1,Partly cloudy,5,1011,0,67,Kolkata,14-11-2021 06:30
1636875000,23.3,Partly cloudy,5.2,1011,0.02,66,Kolkata,14-11-2021 07:30
1636878600,23.6,Partly cloudy,5.3,1010,0,65,Kolkata,14-11-2021 08:30
1636882200,23.8,Partly cloudy,5.4,1010,0,64,Kolkata,14-11-2021 09:30
1636885800,23.6,Partly cloudy,4.9,1010,0,65,Kolkata,14-11-2021 10:30
1636889400,23.3,Partly cloudy,4.4,1010,0,66,Kolkata,14-11-2021 11:30
1636893000,23.1,Partly cloudy,4,1010,0,67,Kolkata,14-11-2021 12:30
1636896600,22.5,Partly cloudy,4.8,1011,0,67,Kolkata,14-11-2021 13:30
1636900200,22,Partly cloudy,5.6,1011,0,67,Kolkata,14-11-2021 14:30
1636903800,21.4,Partly cloudy,6.5,1011,0.02,68,Kolkata,14-11-2021 15:30
1636907400,21.9,Partly cloudy,4.4,1011,0.01,66,Kolkata,14-11-2021 16:30
1636911000,22.4,Partly cloudy,2.4,1011,0.04,64,Kolkata,14-11-2021 17:30
1636914600,22.9,Partly cloudy,0.4,1011,0.03,62,Kolkata,14-11-2021 18:30
1636918200,22.9,Partly cloudy,2.8,1010,0,62,Kolkata,14-11-2021 19:30
1636921800,22.8,Partly cloudy,5.2,1010,0,62,Kolkata,14-11-2021 20:30
1636925400,22.8,Partly cloudy,7.6,1010,0,62,Kolkata,14-11-2021 21:30
1636929000,22.5,Partly cloudy,8.3,1010,0,64,Kolkata,14-11-2021 22:30
1636932600,22.3,Partly cloudy,9,1011,0,65,Kolkata,14-11-2021 23:30
1636936200,22,Partly cloudy,9.7,1011,0,67,Kolkata,15-11-2021 00:30
1636939800,23.6,Partly cloudy,10.3,1011,0,61,Kolkata,15-11-2021 01:30
1636943400,25.1,Partly cloudy,10.9,1012,0,55,Kolkata,15-11-2021 02:30
1636947000,26.7,Partly cloudy,11.5,1012,0,49,Kolkata,15-11-2021 03:30
1636950600,28.1,Partly cloudy,11.4,1011,0,46,Kolkata,15-11-2021 04:30
1636954200,29.6,Sunny,11.3,1010,0,43,Kolkata,15-11-2021 05:30
