"","Date_Time","Temperature(°C)","outlook","Feels_like(°C)","Forecast(°C)","Wind(km/h)","Humidity(%)","Location","Visibility(km)","Pressure(mbar)","Dew_point(°C)"
"1",2021-11-11 00:01:02,24,"Rain Mostly cloudy",22," 24 / 23 ",15,"94","Madras / Minambakkam",2,1006,24
"2",2021-11-11 01:01:02,23,"Heavy Rain Mostly cloudy",22," 24 / 23 ",22,"100","Madras / Minambakkam",1,1004,24
"3",2021-11-11 02:01:02,23,"Rain Mostly cloudy",22," 24 / 23 ",22,"94","Madras / Minambakkam",1,1003,24
"4",2021-11-11 03:01:02,23,"Rain Mostly cloudy",22," 24 / 23 ",24,"94","Madras / Minambakkam",2,1003,24
"5",2021-11-11 04:01:02,23,"Rain Mostly cloudy",22," 24 / 23 ",19,"94","Madras / Minambakkam",2,1002,24
"6",2021-11-11 05:01:02,23,"Thunderstorms Mostly cloudy",22," 24 / 23 ",28,"94","Madras / Minambakkam",1,1002,24
"7",2021-11-11 06:01:02,23,"Rain Mostly cloudy",22," 24 / 23 ",24,"94","Madras / Minambakkam",2,1002,24
"8",2021-11-11 07:01:02,23,"Heavy rain More clouds than sun",22," 24 / 23 ",28,"94","Madras / Minambakkam",1,1002,24
"9",2021-11-11 08:01:02,23,"Heavy rain More clouds than sun",22," 24 / 23 ",28,"94","Madras / Minambakkam",1,1002,24
"10",2021-11-11 09:01:02,24,"Drizzle More clouds than sun",22," 24 / 23 ",37,"89","Madras / Minambakkam",2,1002,24
"11",2021-11-11 10:01:02,23,"	Rain More clouds than sun",22," 24 / 23 ",37,"89","Madras / Minambakkam",2,1002,24
"12",2021-11-11 11:01:02,24,"Light rain More clouds than sun",22," 24 / 23 ",28,"94","Madras / Minambakkam",1,1000,24
"13",2021-11-11 12:01:02,24,"Rain More clouds than sun",22," 24 / 23 ",37,"94","Madras / Minambakkam",1,999,24
"14",2021-11-11 13:01:02,24,"Heavy rain More clouds than sun",22," 24 / 23 ",28,"100","Madras / Minambakkam",1,997,24
"15",2021-11-11 14:01:02,24,"Light rain Fog",22," 24 / 23 ",26,"100","Madras / Minambakkam",2,995,24
"16",2021-11-11 15:01:02,27,"Fog",22," 24 / 23 ",37,"89","Madras / Minambakkam",2,994,24
"17",2021-11-11 16:01:02,27,"Fog",22," 24 / 23 ",46,"84","Madras / Minambakkam",2,994,24
"18",2021-11-11 17:01:02,26,"Light rain Fog",22," 24 / 23 ",43,"94","Madras / Minambakkam",3,997,24
"19",2021-11-11 18:01:02,25,"Drizzle Fog",22," 24 / 23 ",26,"94","Madras / Minambakkam",4,1000,24
"21",2021-11-11 19:01:01,25," Drizzle Fog",26," 28 / 24 ",26," 94"," Madras / Minambakkam",3,999,24
"22",2021-11-11 20:01:01,25," Fog",26," 28 / 24 ",20," 89"," Madras / Minambakkam",5,1002,23
"23",2021-11-11 21:01:01,25," Light rain Mostly cloudy",26," 28 / 24 ",19," 94"," Madras / Minambakkam",4,1003,24
"24",2021-11-11 22:01:01,25," Drizzle Mostly cloudy",26," 28 / 24 ",7," 94"," Madras / Minambakkam",4,1005,24
"25",2021-11-11 23:01:09,25," Drizzle Mostly cloudy",26," 27 / 24 ",0," 94"," Madras / Minambakkam",4,1005,24
"26",2021-11-12 00:01:10,25," Fog",26," 27 / 24 ",0," 94"," Madras / Minambakkam",4,1004,24
"28",2021-11-12 01:01:02,24,"Drizzle Mostly cloudy",22," 24 / 23 ",0,"94","Madras / Minambakkam",4,1004,24
"29",2021-11-12 02:01:02,24,"Fog",22," 24 / 23 ",4,"94","Madras / Minambakkam",4,1003,24
"30",2021-11-12 03:01:02,24,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",4,1004,24
"31",2021-11-12 04:01:02,24,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",4,1004,24
"32",2021-11-12 05:01:02,24,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",4,1004,24
"33",2021-11-12 06:01:02,24,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",4,1005,24
"34",2021-11-12 07:01:02,24,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",2,1006,24
"35",2021-11-12 08:01:02,25,"Fog",22," 24 / 23 ",4,"94","Madras / Minambakkam",2,1006,24
