coord.lon,coord.lat,weather.id,weather.main,weather.description,weather.icon,base,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,visibility,wind.speed,wind.deg,wind.gust,all,dt,sys.country,sys.sunrise,sys.sunset,timezone,id,name,cod
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.65,298.32,297.65,297.65,1006,83,1006,1004,10000,1.39,290,2.42,100,1636642161,IN,1636591003,1636632975,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,296.83,297.5,296.83,296.83,1006,86,1006,1004,10000,0.81,245,1.8,99,1636648903,IN,1636591003,1636632975,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,296.88,297.55,296.88,296.88,1006,86,1006,1003,10000,1.03,233,2.09,100,1636652963,IN,1636591003,1636632975,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,296.63,297.31,296.63,296.63,1006,87,1006,1003,10000,0.93,294,2.17,98,1636655283,IN,1636591003,1636632975,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,296.43,297.19,296.43,296.43,1007,91,1007,1005,10000,2.32,255,8.46,100,1636683829,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,297.17,297.95,297.17,297.17,1008,89,1008,1005,10000,2.93,269,7.54,100,1636684742,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,297.17,297.95,297.17,297.17,1008,89,1008,1005,10000,2.93,269,7.54,100,1636687796,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.09,302.4,300.09,300.09,1008,76,1008,1005,10000,3.9,269,6.3,97,1636691401,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.83,303.57,300.83,300.83,1006,73,1006,1003,10000,5.25,267,7.27,98,1636701178,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.81,303.53,300.81,300.81,1005,73,1005,1002,10000,5.81,266,8.04,99,1636702292,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.83,303.57,300.83,300.83,1004,73,1004,1002,10000,5.65,270,7.74,99,1636707067,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.83,303.57,300.83,300.83,1004,73,1004,1002,10000,5.65,270,7.74,99,1636707895,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.83,303.57,300.83,300.83,1004,73,1004,1002,10000,5.65,270,7.74,99,1636707895,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.83,303.57,300.83,300.83,1004,73,1004,1002,10000,5.65,270,7.74,99,1636709095,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.15,302.61,300.15,300.15,1004,77,1004,1002,10000,4.58,272,7.14,99,1636709700,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.15,302.61,300.15,300.15,1004,77,1004,1002,10000,4.58,272,7.14,99,1636709700,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.15,302.61,300.15,300.15,1004,77,1004,1002,10000,4.58,272,7.14,99,1636710895,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.15,302.61,300.15,300.15,1004,77,1004,1002,10000,4.58,272,7.14,99,1636711499,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04n,stations,298.18,298.96,298.18,298.18,1007,85,1007,1004,10000,2.54,262,4.28,77,1636723003,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.57,298.34,297.57,297.57,1009,87,1009,1006,10000,2.14,272,2.76,86,1636729016,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.57,298.34,297.57,297.57,1009,87,1009,1006,10000,2.14,272,2.76,86,1636729880,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.4,298.18,297.4,297.4,1009,88,1009,1006,10000,2.13,258,3,85,1636732462,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.26,298.05,297.26,297.26,1009,89,1009,1006,10000,2.29,250,3.74,85,1636735426,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.26,298.05,297.26,297.26,1009,89,1009,1006,10000,2.29,250,3.74,85,1636737252,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,296.96,297.77,296.96,296.96,1008,91,1008,1006,10000,2.03,253,3.32,85,1636739228,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,296.73,297.52,296.73,296.73,1009,91,1009,1006,10000,1.99,268,3.28,87,1636741008,IN,1636677424,1636719369,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,296.54,297.34,296.54,296.54,1008,92,1008,1005,10000,1.61,278,2.05,100,1636742015,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,297.5,298.31,297.5,297.5,1009,89,1009,1006,10000,3.02,259,5.5,100,1636769288,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,297.5,298.31,297.5,297.5,1009,89,1009,1006,10000,3.02,259,5.5,100,1636770488,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,299.47,299.47,299.47,299.47,1010,80,1010,1007,10000,3.74,262,5.57,99,1636771284,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,300.78,304.08,300.78,300.78,1010,78,1010,1007,10000,3.82,246,5.17,98,1636777349,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,302.88,307.32,302.88,302.88,1008,69,1008,1005,10000,2.95,212,3.69,95,1636781954,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,302.88,307.32,302.88,302.88,1008,69,1008,1005,10000,2.95,212,3.69,95,1636783093,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04d,stations,302.4,306.43,302.4,302.4,1007,70,1007,1004,10000,1.93,190,2.65,87,1636787719,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04d,stations,303.87,307.89,303.87,303.87,1005,62,1005,1002,10000,2.51,195,3.47,73,1636793298,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04d,stations,303.87,307.89,303.87,303.87,1005,62,1005,1002,10000,2.51,195,3.47,73,1636795689,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04d,stations,303.75,307.87,303.75,303.75,1005,63,1005,1002,10000,2.7,190,3.63,73,1636796576,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04d,stations,303.75,307.87,303.75,303.75,1005,63,1005,1002,10000,2.7,190,3.63,73,1636798925,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04d,stations,302.36,307.16,302.36,302.36,1005,74,1005,1003,10000,2.93,171,4.47,79,1636801838,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04d,stations,302.36,307.16,302.36,302.36,1005,74,1005,1003,10000,2.93,171,4.47,79,1636802785,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,500,Rain,light rain,10d,stations,300.2,303.2,300.2,300.2,1006,82,1006,1003,10000,3.11,156,5.02,82,1636805287,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,298.89,299.82,298.89,298.89,1007,88,1007,1004,10000,2.6,153,4.31,97,1636809118,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04n,stations,298.38,299.33,298.38,298.38,1008,91,1008,1005,10000,2.41,151,4.17,82,1636810641,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,803,Clouds,broken clouds,04n,stations,298.38,299.33,298.38,298.38,1008,91,1008,1005,10000,2.41,151,4.17,82,1636812096,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,298.23,299.2,298.23,298.23,1009,92,1009,1006,10000,2.58,166,5.28,88,1636814494,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,298.23,299.2,298.23,298.23,1009,92,1009,1006,10000,2.58,166,5.28,88,1636816403,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,298.12,299.07,298.12,298.12,1009,92,1009,1006,10000,2.46,169,5.22,89,1636818264,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,298.12,299.07,298.12,298.12,1009,92,1009,1006,10000,2.46,169,5.22,89,1636820115,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.94,298.9,297.94,297.94,1009,93,1009,1006,10000,2.46,191,5.54,86,1636821304,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
79.3989,10.8499,804,Clouds,overcast clouds,04n,stations,297.94,298.9,297.94,297.94,1009,93,1009,1006,10000,2.46,191,5.54,86,1636822379,IN,1636763846,1636805764,19800,1265683,Amaravathi,200
