Message ID,From,Subject,Date Sent,Date Received,Attachments Count,Body Snippet,Spam or Normal
17d0fc8943e4df5f,19bds@vitstudent.ac.in,Re: WELLSFARGO Next round of Selection process is Scheduled on 12th Nov 2021,"Nov 12, 2021, 07:46:49","Nov 12, 2021, 08:00:22",1,WELLSFARGO Next round of Selection process is Scheduled on 12th Nov 2021 Please find the attached shortlisted students list with respective timing. Interview links will be shared directly from the,Normal
17d11f9483ab8ce5,19bds@vitstudent.ac.in,Fw: Alumni Interactive Session (Exclusively for UPSC Aspirants) - Event Date & Time : 17th Nov 2021 from 11:30 AM to 12:30 PM (IST),"Nov 12, 2021, 07:57:12","Nov 12, 2021, 07:58:09",1,"Dear Students, All are invited to the Alumni Interactive Session (Exclusively for UPSC Aspirants) scheduled on November 17th, 2021 from 11:30 AM to 12:30 PM (IST). Follow the trail mail for more",Normal
17d120b498c96575,19bds@vitstudent.ac.in,12th November - Today's Online events by Clubs and Chapters-reg,"Nov 12, 2021, 08:16:40","Nov 12, 2021, 08:17:49",0,"Dear VITian's, Office of Students' Welfare invites you for today's [12 th November] online events. World Pneumonia Day World Pneumonia Day was established and first observed in 2009 by the",Normal
17d1327548cd2f58,smartnotifications15@gmail.com,Contact of SMART Program Coordinator- Reg,"Nov 12, 2021, 11:47:21","Nov 12, 2021, 13:28:04",0,"Dear Student This is to inform you that if you are facing any issues regarding the soft skills classes at Vellore campus, kindly send an email immediately to the following id Reshma Thomas SMART –",Normal
17d1333083edf22a,noreply.sdc@vit.ac.in,WINSEM2021-22 Wishlist - Course Delete OTP,"Nov 12, 2021, 13:40:10","Nov 12, 2021, 13:40:51",0,"Dear Student (19BDS0086), OTP to delete the course CSE4022 is KXrAA for Winter Semester 2021-22 Wishlist. This is an auto generated mail. Kindly don't reply or send message to this mail id. Thanks",Normal
17d13953e6a1c6d7,19bds@vitstudent.ac.in,CAREER COUNSELLING -VIT-CDC- 'CAREER CLAIRVOYANCE 2021 - WEBINAR- INTERNATIONAL SPEAKERS- SUNDAY - NOVEMBER 14- 6..30pm-reg,"Nov 12, 2021, 15:27:16","Nov 12, 2021, 15:28:08",0,"Dear Students, The Office of Career Development Centre, VIT is coming out with ""CAREER CLAIRVOYANCE '21' from November 10th onwards, where the students will be given an opportunity to know",Normal
17d130e35d0bdb8e,noreply@email.teams.microsoft.com,SMART5 and Raja posted messages,"Nov 12, 2021, 13:00:36","Nov 12, 2021, 13:00:38",5,STS3101_D1_VL2021220100077Play ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,Spam
17d178ff27390625,19bds@vitstudent.ac.in,Quanta Day 1 Links-reg,"Nov 13, 2021, 09:59:52","Nov 13, 2021, 10:00:50",0,"Dear VITian's, VIT Vellore boasts a total of 150 clubs and chapters, headed by the student community that organizes diverse events daily. Their concerted efforts have made it possible for us to",Normal
17d17a17e3fe4bc8,19bds@vitstudent.ac.in,WALMART Online Test is Scheduled on 14th Nov 2021 by 10:00 am,"Nov 13, 2021, 10:19:19","Nov 13, 2021, 10:19:59",0,WALMART Online Test is Scheduled on 14th Nov 2021 by 10:00 am Attached shortlisted students list eligible to sit for the online test. Date: 14 th November Time: 10:00 AM Test Duration: 2 Hour Test link,Normal
17d184f4d52af170,19bds@vitstudent.ac.in,CAREER COUNSELLING -VIT-CDC- 'CAREER CLAIRVOYANCE 2021 - WEBINAR- INTERNATIONAL SPEAKERS- TOMORROW - SUNDAY - NOVEMBER 14- 6..30pm-reg,"Nov 13, 2021, 13:28:57","Nov 13, 2021, 13:29:50",0,"Dear Students, The Office of Career Development Centre, VIT is coming out with ""CAREER CLAIRVOYANCE '21' from November 10th onwards, where the students will be given an opportunity to know",Normal
17d1cbf781ce6b94,19bds@vitstudent.ac.in,"Quanta- Day-2 Session3,4&5 -links","Nov 14, 2021, 10:09:52","Nov 14, 2021, 10:11:00",0,"Dear VITian's, Presenting to you the schedule for Day 2 of Quanta Schedule: Sunday: Day 2: November 14 th , 2021 VIT Vellore boasts a total of 150 clubs and chapters, headed by the student",Normal
17d1ed47092d05bd,no-reply@accounts.google.com,Security alert,"Nov 14, 2021, 19:52:57","Nov 14, 2021, 19:52:59",0,New device signed in to mahin.jain2019@vitstudent.ac.in Your Google Account was just signed in to from a new Windows device. You're getting this email to make sure it was you. Check activity You,Normal
17d1ed63023d2d8b,support@cloudhq.net,Congratulations! You've successfully installed Export Emails to Google Sheets,"Nov 14, 2021, 19:54:53","Nov 14, 2021, 19:54:53",0,"Hi there, This is Naomi, co-founder at cloudHQ. I noticed that you just downloaded: Export Emails to Google Sheets This service will extract and parse information from your email messages into a",Spam
17d21496c8a90592,19bds@vitstudent.ac.in,15th November - Today's Online events by Clubs and Chapters-reg,"Nov 15, 2021, 07:18:59","Nov 15, 2021, 07:20:00",0,"Dear VITian's, Office of Students' Welfare invites you for today's [15 th November] online events. SOLAI Event: Dear young farmer Time: 9 am Event Platform: Google meet Event Description: “",Normal
17cf53c09b97ceec,19bds@vitstudent.ac.in,"Re: Webinar by Dartmouth College, USA on 16 November 2021","Nov 15, 2021, 09:53:07","Nov 15, 2021, 09:55:07",0,"A gentle reminder ( 16 November 2021) with best regards Dr Vijay kumar Chandrasekaran Director- International Relations Vellore Institute of Technology (VIT) Vellore-632014 Tamil Nadu, INDIA W : www.",Normal
17d2214e9685e61a,19bds@vitstudent.ac.in,FW: Internship opportunities in DorkLab - startup project under pre-incubation at VITTBI,"Nov 15, 2021, 11:00:58","Nov 15, 2021, 11:02:15",0,From: TBI Coordinator Sent: 10 November 2021 16:20 To: VITTBI Vellore Subject: FW: Internship opportunities in DorkLab - startup project under pre-incubation at VITTBI Forwarding internship,Normal
17c5fe20d0b54452,19bds@vitstudent.ac.in,Re: Information Session by the Columbia University in the City of New York,"Nov 15, 2021, 09:50:28","Nov 15, 2021, 09:55:08",1,"A gentle reminder (15th Nov 2021) with best regards Dr Vijay kumar Chandrasekaran Director- International Relations Vellore Institute of Technology (VIT) Vellore-632014 Tamil Nadu, INDIA W : www.vit.ac",Normal
17d22d59fd6b07a3,19bds@vitstudent.ac.in,FW: CALL FOR GRAPHIC DESIGNERS VIT : House Of Babas,"Nov 15, 2021, 14:31:56","Nov 15, 2021, 14:32:45",0,"Dear All Please find below an internship call from House of Babas, a company under incubation at VITTBI. Regards Dr.A.Balachandran Sr.General Manager VITTBI From: Shivang Slathia [mailto:shivang@",Normal
17d2272bb6ac8f98,19bds@vitstudent.ac.in,CLiQ & Create - Your Chance to Click in the Reel Life | Tata CLiQ,"Nov 15, 2021, 12:43:49","Nov 15, 2021, 12:44:44",0,Dear Students We are running this competition at Tata CLiQ and we would encourage all students to register with the link below. CALLING ALL CREATIVE MINDS! Register on this link by 19 th Nov'21 |,Normal
17d268b727afd909,19bds@vitstudent.ac.in,16th November - Today's Online events by Clubs and Chapters-reg,"Nov 16, 2021, 07:48:54","Nov 16, 2021, 07:50:13",0,"Dear VITian's, Office of Students' Welfare invites you for today's [16 th November] online events. International Day for Tolerance Every year on 16 November, the international community",Normal
17d27047e51a4848,19bds@vitstudent.ac.in,MS Teams Toolbar Issues,"Nov 16, 2021, 09:53:46","Nov 16, 2021, 10:02:26",0,"Dear VITians, Good Morning. This is to inform you that Microsoft Teams users are experiencing issues in seeing the menu during the Teams Meeting from 16th Nov 2021, 8:00 am onwards. This is a global",Normal
