Stock_Name,Date_Time,Price,Open,Previous Close,Volume,Value (Lacs),i VWAP,Beta,High,Low
Laurus Labs,11-11-2021 15:16,463.95,489.55,489.55,"43,26,708.00","20,073.76",471.24,0.840.77,491.25,455.25
Laurus Labs,11-11-2021 15:22,463.95,489.55,489.55,"43,26,708.00","20,073.76",471.24,0.840.77,491.25,455.25
Laurus Labs,11-11-2021 15:36,463.95,489.55,489.55,"43,26,708.00","20,073.76",471.24,0.840.77,491.25,455.25
Laurus Labs,11-11-2021 16:14,462.2,489.55,489.55,"50,34,806.00","23,270.87",469.87,0.840.77,491.25,455.25
Laurus Labs,12-11-2021 12:09,456.25,462.6,462.2,"19,36,003.00","8,833.01",463.16,0.840.77,472,455.05
Laurus Labs,12-11-2021 12:23,457.9,462.6,462.2,"20,98,028.00","9,604.77",462.68,0.840.77,472,455.05
Laurus Labs,12-11-2021 12:41,457.7,462.6,462.2,"21,01,207.00","9,617.22",462.67,0.840.77,472,455.05
Laurus Labs,12-11-2021 12:57,459.15,462.6,462.2,"22,36,320.00","10,268.06",462.41,0.840.77,472,455.05
Laurus Labs,12-11-2021 13:06,456,462.6,462.2,"23,73,607.00","10,823.65",462.1,0.840.77,472,455.05
Laurus Labs,12-11-2021 13:15,456,462.6,462.2,"23,73,607.00","10,823.65",462.1,0.840.77,472,455.05
Laurus Labs,12-11-2021 13:24,456,462.6,462.2,"23,73,607.00","10,823.65",462.1,0.840.77,472,455.05
Laurus Labs,12-11-2021 13:43,457.05,462.6,462.2,"26,80,101.00","12,249.40",461.36,0.840.77,472,454
Laurus Labs,12-11-2021 14:10,455.85,462.6,462.2,"28,98,672.00","13,213.60",461.01,0.840.77,472,454
Laurus Labs,12-11-2021 14:17,455.85,462.6,462.2,"28,98,672.00","13,213.60",461.01,0.840.77,472,454
Laurus Labs,12-11-2021 14:26,454.1,462.6,462.2,"32,16,111.00","14,604.36",460.35,0.840.77,472,454
Laurus Labs,12-11-2021 14:41,454.1,462.6,462.2,"32,16,111.00","14,604.36",460.35,0.840.77,472,454
Laurus Labs,12-11-2021 14:59,455.25,462.6,462.2,"35,84,899.00","16,320.25",459.71,0.840.77,472,452.25
Laurus Labs,12-11-2021 15:12,455.25,462.6,462.2,"35,84,899.00","16,320.25",459.71,0.840.77,472,452.25
Laurus Labs,12-11-2021 15:24,452.5,462.6,462.2,"39,43,298.00","17,843.42",459.15,0.840.77,472,451.25
