"Date","Day","Time","City","CurrentTemperature","TemperatureFeelsLike","MinimumTemperature","MaximumTemperature","CurrentPressure","CurrentHumidity","WindSpeed","Weather","WeatherDescription"
"10 Nov 2021","Wednesday","16:40:56","Muscat",28.16,28.04,28.16,28.16,1014,43,2.36,"Clear","clear sky"
"10 Nov 2021","Wednesday","18:16:10","Muscat",27.16,27.23,27.16,27.16,1014,44,2.36,"Clear","clear sky"
"10 Nov 2021","Wednesday","18:50:20","Muscat",27.16,27.4,27.16,27.16,1015,47,2.49,"Clear","clear sky"
"10 Nov 2021","Wednesday","19:50:20","Muscat",27.16,27.52,27.16,27.16,1014,49,2.83,"Clear","clear sky"
"10 Nov 2021","Wednesday","20:59:13","Muscat",25.83,25.76,25.83,25.83,1014,50,2.69,"Clear","clear sky"
"10 Nov 2021","Wednesday","21:59:16","Muscat",25.67,25.61,25.67,25.67,1014,51,2.1,"Clear","clear sky"
"11 Nov 2021","Thursday","03:06:12","Muscat",25.25,24.99,25.25,25.25,1013,45,1.06,"Clear","clear sky"
"11 Nov 2021","Thursday","03:09:13","Muscat",22.16,21.57,22.16,22.16,1013,44,0.75,"Clear","clear sky"
"11 Nov 2021","Thursday","03:17:13","Muscat",22.16,21.59,22.16,22.16,1013,45,1.06,"Clear","clear sky"
"11 Nov 2021","Thursday","04:03:04","Muscat",23.16,22.74,23.16,23.16,1014,47,1.94,"Clear","clear sky"
"11 Nov 2021","Thursday","04:03:30","Muscat",23.16,22.74,23.16,23.16,1014,47,1.94,"Clear","clear sky"
"11 Nov 2021","Thursday","04:05:04","Muscat",23.16,22.74,23.16,23.16,1014,47,1.94,"Clear","clear sky"
"11 Nov 2021","Thursday","04:07:04","Muscat",23.16,22.74,23.16,23.16,1014,47,1.94,"Clear","clear sky"
"11 Nov 2021","Thursday","04:57:40","Muscat",24.76,24.53,24.76,24.76,1014,48,1.54,"Clear","clear sky"
"11 Nov 2021","Thursday","05:00:03","Muscat",24.76,24.53,24.76,24.76,1014,48,1.54,"Clear","clear sky"
"11 Nov 2021","Thursday","06:03:04","Muscat",25.35,25.15,25.35,25.35,1015,47,0.84,"Clear","clear sky"
"11 Nov 2021","Thursday","06:06:02","Muscat",22.16,21.64,22.16,22.16,1015,47,0.84,"Clear","clear sky"
"11 Nov 2021","Thursday","06:08:03","Muscat",25.35,25.15,25.35,25.35,1015,47,0.84,"Clear","clear sky"
"11 Nov 2021","Thursday","06:13:04","Muscat",22.16,21.64,22.16,22.16,1015,47,0.84,"Clear","clear sky"
"11 Nov 2021","Thursday","06:20:04","Muscat",22.16,21.64,22.16,22.16,1015,47,0.84,"Clear","clear sky"
"11 Nov 2021","Thursday","06:50:05","Muscat",22.16,21.57,22.16,22.16,1015,44,0.71,"Clear","clear sky"
"11 Nov 2021","Thursday","07:20:06","Muscat",26.16,26.16,26.16,26.16,1015,44,0.71,"Clear","clear sky"
"11 Nov 2021","Thursday","07:50:09","Muscat",26.16,26.16,26.16,26.16,1016,43,1.21,"Clear","clear sky"
"11 Nov 2021","Thursday","08:27:56","Muscat",28.16,28.04,28.16,28.16,1016,43,1.21,"Clear","clear sky"
"11 Nov 2021","Thursday","09:18:05","Muscat",28.16,27.89,28.16,28.16,1016,41,1.95,"Clear","clear sky"
"11 Nov 2021","Thursday","09:48:04","Muscat",28.16,27.82,28.16,28.16,1015,40,2.52,"Clear","clear sky"
"11 Nov 2021","Thursday","10:18:04","Muscat",28.16,27.82,28.16,28.16,1015,40,2.52,"Clear","clear sky"
"11 Nov 2021","Thursday","10:48:06","Muscat",28.16,27.82,28.16,28.16,1014,40,3.07,"Clear","clear sky"
"11 Nov 2021","Thursday","11:18:03","Muscat",29.16,28.77,29.16,29.16,1014,40,3.07,"Clear","clear sky"
"11 Nov 2021","Thursday","12:22:19","Muscat",29.16,28.86,29.16,29.16,1013,41,3.63,"Clear","clear sky"
"11 Nov 2021","Thursday","12:48:05","Muscat",29.16,28.95,29.16,29.16,1012,42,4.55,"Clear","clear sky"
"11 Nov 2021","Thursday","13:18:04","Muscat",29.16,28.95,29.16,29.16,1012,42,4.55,"Clear","clear sky"
"11 Nov 2021","Thursday","13:48:08","Muscat",29.16,29.15,29.16,29.16,1012,44,4.78,"Clear","clear sky"
"11 Nov 2021","Thursday","14:18:04","Muscat",29.16,29.15,29.16,29.16,1012,44,4.78,"Clear","clear sky"
"11 Nov 2021","Thursday","14:48:05","Muscat",29.16,29.36,29.16,29.16,1012,46,4.38,"Clear","clear sky"
"11 Nov 2021","Thursday","15:18:06","Muscat",29.16,29.36,29.16,29.16,1012,46,4.38,"Clear","clear sky"
"11 Nov 2021","Thursday","15:48:08","Muscat",29.16,29.7,29.16,29.16,1013,49,3.72,"Clear","clear sky"
"11 Nov 2021","Thursday","16:18:03","Muscat",28.16,28.52,28.16,28.16,1013,49,3.72,"Clear","clear sky"
"11 Nov 2021","Thursday","16:48:04","Muscat",28.16,28.7,28.16,28.16,1014,51,2.69,"Clear","clear sky"
"11 Nov 2021","Thursday","17:18:03","Muscat",28.16,28.7,28.16,28.16,1014,51,2.69,"Clear","clear sky"
"11 Nov 2021","Thursday","17:48:05","Muscat",28.16,28.79,28.16,28.16,1014,52,2.19,"Clear","clear sky"
"11 Nov 2021","Thursday","18:18:04","Muscat",27.16,27.7,27.16,27.16,1014,52,2.19,"Clear","clear sky"
"11 Nov 2021","Thursday","18:48:07","Muscat",27.16,27.76,27.16,27.16,1015,53,2.21,"Clear","clear sky"
"11 Nov 2021","Thursday","19:18:07","Muscat",27.16,27.76,27.16,27.16,1015,53,2.21,"Clear","clear sky"
"11 Nov 2021","Thursday","19:48:06","Muscat",27.16,27.76,27.16,27.16,1015,53,2.16,"Clear","clear sky"
"11 Nov 2021","Thursday","20:18:04","Muscat",26.16,26.16,26.16,26.16,1015,53,2.16,"Clear","clear sky"
"11 Nov 2021","Thursday","20:48:03","Muscat",26.16,26.16,26.16,26.16,1015,53,2.38,"Clear","clear sky"
"11 Nov 2021","Thursday","21:18:04","Muscat",26.16,26.16,26.16,26.16,1015,53,2.38,"Clear","clear sky"
"11 Nov 2021","Thursday","21:48:04","Muscat",26.16,26.16,26.16,26.16,1015,53,1.94,"Clear","clear sky"
"11 Nov 2021","Thursday","22:18:03","Muscat",26.16,26.16,26.16,26.16,1015,53,1.94,"Clear","clear sky"
"11 Nov 2021","Thursday","22:48:03","Muscat",26.16,26.16,26.16,26.16,1014,51,1.23,"Clear","clear sky"
"11 Nov 2021","Thursday","23:18:04","Muscat",25.16,25.05,25.16,25.16,1014,51,1.23,"Clear","clear sky"
"11 Nov 2021","Thursday","23:48:03","Muscat",25.16,25.02,25.16,25.16,1014,50,1.2,"Clear","clear sky"
"12 Nov 2021","Friday","00:18:04","Muscat",24.16,23.92,24.16,24.16,1014,50,1.2,"Clear","clear sky"
"12 Nov 2021","Friday","00:48:05","Muscat",24.16,23.9,24.16,24.16,1014,49,1.62,"Clear","clear sky"
"12 Nov 2021","Friday","01:18:04","Muscat",23.16,22.8,23.16,23.16,1014,49,1.62,"Clear","clear sky"
"12 Nov 2021","Friday","01:48:03","Muscat",23.16,22.8,23.16,23.16,1014,49,1.7,"Clear","clear sky"
"12 Nov 2021","Friday","02:18:03","Muscat",23.16,22.8,23.16,23.16,1014,49,1.7,"Clear","clear sky"
"12 Nov 2021","Friday","02:48:04","Muscat",23.16,22.8,23.16,23.16,1014,49,1.6,"Clear","clear sky"
"12 Nov 2021","Friday","03:18:04","Muscat",24.16,23.9,24.16,24.16,1014,49,1.6,"Clear","clear sky"
"12 Nov 2021","Friday","03:48:03","Muscat",24.16,23.92,24.16,24.16,1015,50,1.52,"Clear","clear sky"
"12 Nov 2021","Friday","04:18:03","Muscat",22.16,21.72,22.16,22.16,1015,50,1.52,"Clear","clear sky"
"12 Nov 2021","Friday","04:48:03","Muscat",22.16,21.77,22.16,22.16,1015,52,1.81,"Clear","clear sky"
"12 Nov 2021","Friday","05:21:27","Muscat",22.16,21.77,22.16,22.16,1015,52,1.81,"Clear","clear sky"
"12 Nov 2021","Friday","05:35:46","Muscat",22.16,21.75,22.16,22.16,1016,51,1.65,"Clear","clear sky"
"12 Nov 2021","Friday","05:37:05","Muscat",22.16,21.75,22.16,22.16,1016,51,1.65,"Clear","clear sky"
"12 Nov 2021","Friday","06:07:05","Muscat",23.16,22.85,23.16,23.16,1016,51,1.65,"Clear","clear sky"
"12 Nov 2021","Friday","06:39:37","Muscat",23.16,22.77,23.16,23.16,1017,48,1.17,"Clear","clear sky"
"12 Nov 2021","Friday","06:52:04","Muscat",26.15,26.15,26.15,26.15,1017,48,1.17,"Clear","clear sky"
"12 Nov 2021","Friday","07:22:05","Muscat",26.15,26.15,26.15,26.15,1017,48,1.17,"Clear","clear sky"
"12 Nov 2021","Friday","07:52:04","Muscat",26.73,26.73,26.73,26.73,1017,46,1.27,"Clear","clear sky"
"12 Nov 2021","Friday","08:22:05","Muscat",27.16,27.34,27.16,27.16,1017,46,1.27,"Clear","clear sky"
"12 Nov 2021","Friday","08:52:04","Muscat",27.16,27.23,27.16,27.16,1017,44,1.73,"Clear","clear sky"
"12 Nov 2021","Friday","09:22:13","Muscat",28.16,28.19,28.16,28.16,1017,45,1.67,"Clear","clear sky"
"12 Nov 2021","Friday","09:52:10","Muscat",28.16,28.11,28.16,28.16,1017,44,2.07,"Clear","clear sky"
"12 Nov 2021","Friday","10:22:06","Muscat",28.16,28.11,28.16,28.16,1017,44,2.07,"Clear","clear sky"
"12 Nov 2021","Friday","10:52:05","Muscat",28.16,28.04,28.16,28.16,1016,43,2.65,"Clear","clear sky"
"12 Nov 2021","Friday","11:22:04","Muscat",29.16,29.05,29.16,29.16,1016,43,2.65,"Clear","clear sky"
"12 Nov 2021","Friday","13:36:32","Muscat",28.16,27.76,28.16,28.16,1014,39,2.9,"Clear","clear sky"
"12 Nov 2021","Friday","13:38:03","Muscat",28.16,27.76,28.16,28.16,1014,39,2.9,"Clear","clear sky"
"12 Nov 2021","Friday","16:41:20","Muscat",29.16,29.25,29.16,29.16,1015,45,1.87,"Clear","clear sky"
"12 Nov 2021","Friday","17:11:13","Muscat",28.16,28.19,28.16,28.16,1015,45,1.87,"Clear","clear sky"
"12 Nov 2021","Friday","17:41:09","Muscat",28.16,28.61,28.16,28.16,1016,50,1.64,"Clear","clear sky"
"12 Nov 2021","Friday","18:11:08","Muscat",28.16,28.61,28.16,28.16,1016,50,1.64,"Clear","clear sky"
"12 Nov 2021","Friday","20:06:29","Muscat",26.16,26.16,26.16,26.16,1016,51,0.47,"Clear","clear sky"
"12 Nov 2021","Friday","20:08:05","Muscat",26.16,26.16,26.16,26.16,1016,51,0.47,"Clear","clear sky"
"12 Nov 2021","Friday","20:38:04","Muscat",26.16,26.16,26.16,26.16,1016,50,0.7,"Clear","clear sky"
"12 Nov 2021","Friday","21:04:05","Muscat",25.29,25.17,25.29,25.29,1016,50,0.84,"Clear","clear sky"
