Area,Epoch Time,Time,Temp in C,Temp in F,Is_Day,Condition,Icon,Code,Wind Speed(mph),Wind Speed(kph),Wind Degree,Wind Direction,Pressure in MB,Pressure in IN,Precipitation in MM,Precipitation in IN,Humidity,Cloud,FeelsLike in C,FeelsLike in F,Windchill in C,Windchill in F,HeatIndex in C,HeatIndex in F,Dewpoint in C,Dewpoint in F,Will_it_rain,Chance_of_rain,Will_it_snow,Chance _of_snow,Visibility in KM,Visibility in Miles,Gust in Mph,Gust in Kph
Lucknow,1636569000,11/11/2021 0:00,20.6,69.1,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,1.6,2.5,50,NE,1012,29.9,0,0,47,0,20.6,69.1,20.6,69.1,20.6,69.1,8.8,47.8,0,0,0,0,10,6,3.4,5.4
Lucknow,1636572600,11/11/2021 1:00,20.2,68.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,1.9,3.1,42,NE,1012,29.89,0,0,48,0,20.2,68.4,20.2,68.4,20.2,68.4,8.9,48,0,0,0,0,10,6,4.1,6.6
Lucknow,1636576200,11/11/2021 2:00,19.8,67.6,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,2.3,3.7,34,NE,1012,29.88,0,0,50,0,19.8,67.6,19.8,67.6,19.8,67.6,9,48.2,0,0,0,0,10,6,4.8,7.8
Lucknow,1636579800,11/11/2021 3:00,19.4,66.9,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,2.7,4.3,26,NNE,1012,29.88,0,0,51,0,19.4,66.9,19.4,66.9,19.4,66.9,9.1,48.4,0,0,0,0,10,6,5.6,9
Lucknow,1636583400,11/11/2021 4:00,19.1,66.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,2.3,3.7,49,NE,1012,29.89,0,0,52,0,19.1,66.3,19.1,66.3,19.1,66.3,9.2,48.5,0,0,0,0,10,6,4.8,7.8
Lucknow,1636587000,11/11/2021 5:00,18.7,65.7,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,1.9,3.1,73,ENE,1012,29.9,0,0,54,0,18.7,65.7,18.7,65.7,18.7,65.7,9.2,48.6,0,0,0,0,10,6,4.1,6.6
Lucknow,1636590600,11/11/2021 6:00,18.4,65.1,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,1.6,2.5,96,E,1013,29.91,0,0,55,0,18.4,65.1,18.4,65.1,18.4,65.1,9.3,48.7,0,0,0,0,10,6,3.4,5.4
Lucknow,1636594200,11/11/2021 7:00,20.2,68.4,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2.1,3.4,108,ESE,1013,29.92,0,0,51,0,20.2,68.4,20.2,68.4,20.5,69,9.5,49.2,0,0,0,0,10,6,3.5,5.6
Lucknow,1636597800,11/11/2021 8:00,22,71.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,2.6,4.2,119,ESE,1014,29.94,0,0,46,0,22,71.6,22,71.6,22.7,72.8,9.8,49.6,0,0,0,0,10,6,3.7,5.9
Lucknow,1636601400,11/11/2021 9:00,23.8,74.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,3.1,5,131,SE,1014,29.95,0,0,42,0,24.8,76.6,23.8,74.8,24.8,76.6,10,50,0,0,0,0,10,6,3.8,6.1
