Company Name,Date,Weekday,CurrentStockPrice  ,PreviousClosingPrice,MarketValue,PERatio,
Infosys Ltd.,11/15/2021,Monday,1792.8,1780,221253,42.01,
Infosys Ltd.,11/15/2021,Monday,1796.4,1780,227545,42.01,
Infosys Ltd.,11/15/2021,Monday,1798.6,1780,243608,42.01,
Infosys Ltd.,11/15/2021,Monday,1798.6,1780,243608,42.01,
Infosys Ltd.,11/15/2021,Monday,1798.6,1780,243608,42.01,
Infosys Ltd.,11/15/2021,Monday,1795,1780,334076,42.01,
Infosys Ltd.,11/15/2021,Monday,1795,1780,334076,42.01,
Infosys Ltd.,11/15/2021,Monday,1791.45,1780,338237,42.01,
Infosys Ltd.,11/15/2021,Monday,1795,1780,334076,42.01,
Infosys Ltd.,11/15/2021,Monday,1782.5,1780,352604,42.01,
Infosys Ltd.,11/15/2021,Monday,1988.4,1780,334078,42.01,
Infosys Ltd.,11/15/2021,Monday,1793.2,1780,334076,42.01,
Infosys Ltd.,11/15/2021,Monday,1791.8,1780,334076,42.01,
Infosys Ltd.,11/15/2021,Monday,1795.4,1780,338237,42.01,
Infosys Ltd.,11/15/2021,Monday,1785.1,1780,334076,42.01,
Infosys Ltd.,11/15/2021,Monday,1788.55,1780,352604,42.01,
Infosys Ltd.,11/15/2021,Monday,1786.2,1780,300148,42.01,
Infosys Ltd.,11/15/2021,Monday,1782.4,1780,288569,42.01,
Infosys Ltd.,11/15/2021,Monday,1785.55,1780,277745,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1799.9,1785.55,21373,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1803,1785.55,36942,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1807.1,1785.55,29126,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1802.05,1785.55,34339,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1800.1,1785.55,38625,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1799.5,1785.55,66756,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1800,1785.55,79399,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1796.2,1785.55,87737,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1800.4,1785.55,92246,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1796.35,1785.55,100290,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1796.45,1785.55,101188,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1799.9,1785.55,21373,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1803,1785.55,36942,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1807.1,1785.55,29126,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1776.2,1785.55,34339,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1800.1,1785.55,38625,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1799.5,1785.55,66756,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1774.3,1785.55,79399,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1802.2,1785.55,87737,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1796.35,1785.55,92246,42.01,
Infosys Ltd.,11/16/2021,Tuesday,1790.6,1785.5,86545,42.01,
Infosys Ltd.,11/17/2021,Wednesday,1795.65,1790.6,22987,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796,1790.6,24468,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1797.4,1790.6,23149,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796,1790.6,24468,42.15, 
Infosys Ltd.,11/17/2021,Wednesday,1797.65,1790.6,25465,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796,1790.6,24468,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1797.65,1790.6,25465,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1797.25,1790.6,25888,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1797.8,1790.6,27722,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1799.05,1790.6,33742,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796.95,1790.6,34279,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1797.8,1790.6,27722,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1799.05,1790.6,33742,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1797.8,1790.6,27722,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796.95,1790.6,34279,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1797.8,1790.6,27722,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796.95,1790.6,34279,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1799.05,1790.6,33742,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796.95,1790.6,34279,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1799.05,1790.6,33742,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796.95,1790.6,34279,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1798,1790.6,35590,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1799.05,1790.6,33742,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796.95,1790.6,34279,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1788,1790.6,44560,42.15,
Infosys Ltd.,11/17/2021,Wednesday,1796.95,1790.6,34279,42.15,
