symbol,series,last_corp_announcement_date,last_corp_announcement,open_price,high_price,low_price,last_traded_price,prev_close_price,percent_change,traded_quantity,turnover_in_lakhs,timestamp
TATAMOTORS,EQ,18-07-2016,Dividend - Re 0.20/- Per Share,506.9,514.8,506.2,513.7,505.45,1.63,4409888,22561.87,16-11-2021 09:35
MARUTI,EQ,05-08-2021,Dividend - Rs 45 Per Share,7545,7595.7,7535.05,7591.65,7503.1,1.18,45652,3452.92,16-11-2021 09:35
JSWSTEEL,EQ,05-07-2021,Annual General Meeting/Dividend - Rs 6.50 Per Share,658,669.75,655.7,668.5,661.5,1.06,584415,3876.25,16-11-2021 09:35
HEROMOTOCO,EQ,22-07-2021,Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,2712.2,2723.6,2701,2721,2693.25,1.03,99941,2709.83,16-11-2021 09:35
ADANIPORTS,EQ,24-06-2021,Dividend - Rs 5 Per Sh,752.7,761.7,750.25,757.15,749.8,0.98,904177,6848.24,16-11-2021 09:35
M&M,EQ,15-07-2021,Annual General Meeting/Dividend - Rs 8.75 Per Share,928.4,938.8,927.4,937,928.4,0.93,272728,2546.19,16-11-2021 09:35
COALINDIA,EQ,02-09-2021,Dividend - Rs 3.50 Per Share,161,161.65,160.45,160.95,159.75,0.75,2223457,3581.32,16-11-2021 09:35
BAJAJFINSV,EQ,08-07-2021,Annual General Meeting/Dividend - Rs 3 Per Share,18230,18299,18118.75,18260,18130.5,0.71,19565,3565.74,16-11-2021 09:35
TECHM,EQ,02-11-2021,Special Dividend - Rs 15 Per Share,1585.1,1592.3,1576.15,1590.3,1579.15,0.71,294759,4671.78,16-11-2021 09:35
SBILIFE,EQ,05-04-2021,Interim Dividend - Rs 2.5 Per Share,1169.9,1174.15,1161.1,1166.8,1159.9,0.59,75683,882.77,16-11-2021 09:35
TATAMOTORS,EQ,18-07-2016,Dividend - Re 0.20/- Per Share,506.9,514.8,506.2,513.7,505.45,1.63,4409888,22561.87,16-11-2021 09:36
MARUTI,EQ,05-08-2021,Dividend - Rs 45 Per Share,7545,7595.7,7535.05,7591.65,7503.1,1.18,45652,3452.92,16-11-2021 09:36
JSWSTEEL,EQ,05-07-2021,Annual General Meeting/Dividend - Rs 6.50 Per Share,658,669.75,655.7,668.5,661.5,1.06,584415,3876.25,16-11-2021 09:36
HEROMOTOCO,EQ,22-07-2021,Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,2712.2,2723.6,2701,2721,2693.25,1.03,99941,2709.83,16-11-2021 09:36
ADANIPORTS,EQ,24-06-2021,Dividend - Rs 5 Per Sh,752.7,761.7,750.25,757.15,749.8,0.98,904177,6848.24,16-11-2021 09:36
M&M,EQ,15-07-2021,Annual General Meeting/Dividend - Rs 8.75 Per Share,928.4,938.8,927.4,937,928.4,0.93,272728,2546.19,16-11-2021 09:36
COALINDIA,EQ,02-09-2021,Dividend - Rs 3.50 Per Share,161,161.65,160.45,160.95,159.75,0.75,2223457,3581.32,16-11-2021 09:36
BAJAJFINSV,EQ,08-07-2021,Annual General Meeting/Dividend - Rs 3 Per Share,18230,18299,18118.75,18260,18130.5,0.71,19565,3565.74,16-11-2021 09:36
TECHM,EQ,02-11-2021,Special Dividend - Rs 15 Per Share,1585.1,1592.3,1576.15,1590.3,1579.15,0.71,294759,4671.78,16-11-2021 09:36
SBILIFE,EQ,05-04-2021,Interim Dividend - Rs 2.5 Per Share,1169.9,1174.15,1161.1,1166.8,1159.9,0.59,75683,882.77,16-11-2021 09:36
JSWSTEEL,EQ,05-07-2021,Annual General Meeting/Dividend - Rs 6.50 Per Share,658,671.95,655.7,671.8,661.5,1.56,675179,4484.67,16-11-2021 09:37
TATAMOTORS,EQ,18-07-2016,Dividend - Re 0.20/- Per Share,506.9,514.8,506.2,513.35,505.45,1.56,4737713,24243.35,16-11-2021 09:37
MARUTI,EQ,05-08-2021,Dividend - Rs 45 Per Share,7545,7611.4,7535.05,7598,7503.1,1.26,55530,4203.69,16-11-2021 09:37
HEROMOTOCO,EQ,22-07-2021,Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,2712.2,2724,2701,2721.7,2693.25,1.06,107165,2906.45,16-11-2021 09:37
ADANIPORTS,EQ,24-06-2021,Dividend - Rs 5 Per Sh,752.7,761.7,750.25,757.4,749.8,1.01,925858,7012.36,16-11-2021 09:37
COALINDIA,EQ,02-09-2021,Dividend - Rs 3.50 Per Share,161,161.65,160.45,161.3,159.75,0.97,2338345,3766.61,16-11-2021 09:37
TATASTEEL,EQ,17-06-2021,Annual General Meeting/Dividend - Rs 25 Per Share,1245.45,1261.05,1228.65,1256.4,1245.45,0.88,2836167,35283.9,16-11-2021 09:37
BAJAJFINSV,EQ,08-07-2021,Annual General Meeting/Dividend - Rs 3 Per Share,18230,18299,18118.75,18284,18130.5,0.85,21141,3853.69,16-11-2021 09:37
M&M,EQ,15-07-2021,Annual General Meeting/Dividend - Rs 8.75 Per Share,928.4,938.8,927.4,936.05,928.4,0.82,301417,2814.9,16-11-2021 09:37
HINDALCO,EQ,12-08-2021,Annual General Meeting/Dividend - Rs 3 Per Share,457,459.5,448.75,459.5,455.9,0.79,1822687,8273.54,16-11-2021 09:37
JSWSTEEL,EQ,05-07-2021,Annual General Meeting/Dividend - Rs 6.50 Per Share,658,671.95,655.7,671.8,661.5,1.56,675179,4484.67,16-11-2021 09:38
TATAMOTORS,EQ,18-07-2016,Dividend - Re 0.20/- Per Share,506.9,514.8,506.2,513.35,505.45,1.56,4737713,24243.35,16-11-2021 09:38
MARUTI,EQ,05-08-2021,Dividend - Rs 45 Per Share,7545,7611.4,7535.05,7598,7503.1,1.26,55530,4203.69,16-11-2021 09:38
HEROMOTOCO,EQ,22-07-2021,Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,2712.2,2724,2701,2721.7,2693.25,1.06,107165,2906.45,16-11-2021 09:38
ADANIPORTS,EQ,24-06-2021,Dividend - Rs 5 Per Sh,752.7,761.7,750.25,757.4,749.8,1.01,925858,7012.36,16-11-2021 09:38
COALINDIA,EQ,02-09-2021,Dividend - Rs 3.50 Per Share,161,161.65,160.45,161.3,159.75,0.97,2338345,3766.61,16-11-2021 09:38
TATASTEEL,EQ,17-06-2021,Annual General Meeting/Dividend - Rs 25 Per Share,1245.45,1261.05,1228.65,1256.4,1245.45,0.88,2836167,35283.9,16-11-2021 09:38
BAJAJFINSV,EQ,08-07-2021,Annual General Meeting/Dividend - Rs 3 Per Share,18230,18299,18118.75,18284,18130.5,0.85,21141,3853.69,16-11-2021 09:38
M&M,EQ,15-07-2021,Annual General Meeting/Dividend - Rs 8.75 Per Share,928.4,938.8,927.4,936.05,928.4,0.82,301417,2814.9,16-11-2021 09:38
HINDALCO,EQ,12-08-2021,Annual General Meeting/Dividend - Rs 3 Per Share,457,459.5,448.75,459.5,455.9,0.79,1822687,8273.54,16-11-2021 09:38
JSWSTEEL,EQ,05-07-2021,Annual General Meeting/Dividend - Rs 6.50 Per Share,658,674,655.7,671.45,661.5,1.5,774223,5150.67,16-11-2021 09:39
TATAMOTORS,EQ,18-07-2016,Dividend - Re 0.20/- Per Share,506.9,514.8,506.2,513,505.45,1.49,5006448,25623.5,16-11-2021 09:39
MARUTI,EQ,05-08-2021,Dividend - Rs 45 Per Share,7545,7611.4,7535.05,7594.15,7503.1,1.21,60687,4595.35,16-11-2021 09:39
COALINDIA,EQ,02-09-2021,Dividend - Rs 3.50 Per Share,161,161.65,160.45,161.15,159.75,0.88,2380406,3834.36,16-11-2021 09:39
HEROMOTOCO,EQ,22-07-2021,Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,2712.2,2724,2701,2715.9,2693.25,0.84,110885,3007.54,16-11-2021 09:39
ADANIPORTS,EQ,24-06-2021,Dividend - Rs 5 Per Sh,752.7,761.7,750.25,755.8,749.8,0.8,967971,7331.03,16-11-2021 09:39
M&M,EQ,15-07-2021,Annual General Meeting/Dividend - Rs 8.75 Per Share,928.4,938.8,927.4,935,928.4,0.71,325711,3042.4,16-11-2021 09:39
TATASTEEL,EQ,17-06-2021,Annual General Meeting/Dividend - Rs 25 Per Share,1245.45,1261.05,1228.65,1254,1245.45,0.69,2937061,36550.26,16-11-2021 09:39
BAJAJFINSV,EQ,08-07-2021,Annual General Meeting/Dividend - Rs 3 Per Share,18230,18299,18118.75,18254.45,18130.5,0.68,21890,3990.57,16-11-2021 09:39
ONGC,EQ,08-09-2021,Dividend - Rs 1.85 Per Share,159.4,159.7,157.75,158.85,157.8,0.67,2964744,4700.01,16-11-2021 09:39
