City,Date,Time_in_hours,Temperature_C,WindSpeed_Kmph,Humidity,Visibility,Rainfall
"Bangalore, India",10-11-2021,1,Cool,Strong,High,Foggy,No
"Bangalore, India",10-11-2021,2,Cool,Light,High,Foggy,No
"Bangalore, India",10-11-2021,3,Cool,Light,High,Foggy,No
"Bangalore, India",10-11-2021,4,Cool,Light,High,Foggy,No
"Bangalore, India",10-11-2021,5,Cool,Light,High,Foggy,No
"Bangalore, India",10-11-2021,6,Cool,Light,High,Foggy,No
"Bangalore, India",10-11-2021,7,Cool,Light,High,Foggy,No
"Bangalore, India",10-11-2021,8,Cool,Strong,High,Foggy,No
"Bangalore, India",10-11-2021,9,Mild,Strong,High,Sunny,No
"Bangalore, India",10-11-2021,10,Mild,Strong,Normal,Foggy,No
"Bangalore, India",10-11-2021,11,Mild,Strong,Normal,Foggy,No
"Bangalore, India",10-11-2021,12,Mild,Strong,Normal,Foggy,No
"Bangalore, India",10-11-2021,13,Mild,Strong,Normal,Foggy,No
"Bangalore, India",10-11-2021,14,Mild,Strong,Normal,Foggy,No
"Bangalore, India",10-11-2021,15,Mild,Strong,Normal,Foggy,No
"Bangalore, India",10-11-2021,16,Mild,Light,Normal,Foggy,No
"Bangalore, India",10-11-2021,17,Mild,Light,Normal,Foggy,No
"Bangalore, India",10-11-2021,18,Mild,Light,High,Foggy,No
"Bangalore, India",10-11-2021,19,Mild,Strong,High,Foggy,No
"Bangalore, India",10-11-2021,20,Mild,Strong,High,Foggy,No
"Bangalore, India",10-11-2021,21,Mild,Strong,High,Foggy,No
"Bangalore, India",10-11-2021,22,Mild,Strong,High,Foggy,No
"Bangalore, India",10-11-2021,23,Cool,Strong,High,Foggy,No
"Bangalore, India",10-11-2021,24,Cool,Strong,High,Sunny,Yes
"Bangalore, India",11-11-2021,1,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,2,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,3,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,4,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,5,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,6,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,7,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,8,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,9,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,10,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,11,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,12,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,13,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,14,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,15,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,16,Cool,Light,High,Sunny,Yes
"Bangalore, India",11-11-2021,17,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,18,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,19,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,20,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,21,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,22,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,23,Cool,Light,High,Foggy,Yes
"Bangalore, India",11-11-2021,24,Cool,Strong,High,Foggy,Yes
"Bangalore, India",12-11-2021,1,Cool,Strong,High,Foggy,Yes
"Bangalore, India",12-11-2021,2,Cool,Strong,High,Foggy,Yes
"Bangalore, India",12-11-2021,3,Cool,Strong,High,Foggy,Yes
"Bangalore, India",12-11-2021,4,Cool,Strong,High,Foggy,Yes
"Bangalore, India",12-11-2021,5,Cool,Light,High,Foggy,Yes
"Bangalore, India",12-11-2021,6,Cool,Light,High,Foggy,No
"Bangalore, India",12-11-2021,7,Cool,Light,High,Foggy,No
"Bangalore, India",12-11-2021,8,Cool,Light,High,Foggy,No
"Bangalore, India",12-11-2021,9,Cool,Light,High,Sunny,No
"Bangalore, India",12-11-2021,10,Cool,Light,High,Foggy,No
"Bangalore, India",12-11-2021,11,Mild,Light,High,Foggy,No
"Bangalore, India",12-11-2021,12,Mild,Strong,High,Foggy,No
"Bangalore, India",12-11-2021,13,Mild,Strong,Normal,Foggy,No
"Bangalore, India",12-11-2021,14,Mild,Strong,Normal,Foggy,No
"Bangalore, India",12-11-2021,15,Mild,Strong,Normal,Foggy,No
"Bangalore, India",12-11-2021,16,Mild,Light,Normal,Foggy,No
"Bangalore, India",12-11-2021,17,Mild,Light,Normal,Foggy,No
"Bangalore, India",12-11-2021,18,Mild,Light,High,Sunny,Yes
"Bangalore, India",12-11-2021,19,Mild,Light,High,Sunny,Yes
"Bangalore, India",12-11-2021,20,Mild,Light,High,Sunny,No
"Bangalore, India",12-11-2021,21,Mild,Light,High,Foggy,Yes
"Bangalore, India",12-11-2021,22,Mild,Light,High,Foggy,Yes
"Bangalore, India",12-11-2021,23,Mild,Light,High,Foggy,Yes
"Bangalore, India",12-11-2021,24,Cool,Light,High,Foggy,No
"Bangalore, India",13-11-2021,1,Cool,Light,High,Foggy,No
"Bangalore, India",13-11-2021,2,Cool,Light,High,Foggy,No
"Bangalore, India",13-11-2021,3,Cool,Light,High,Foggy,No
"Bangalore, India",13-11-2021,4,Cool,Light,High,Foggy,No
"Bangalore, India",13-11-2021,5,Cool,Light,High,Sunny,No
"Bangalore, India",13-11-2021,6,Cool,Light,High,Foggy,No
"Bangalore, India",13-11-2021,7,Cool,Light,High,Foggy,No
"Bangalore, India",13-11-2021,8,Mild,Strong,High,Foggy,No
"Bangalore, India",13-11-2021,9,Mild,Strong,High,Sunny,No
"Bangalore, India",13-11-2021,10,Mild,Strong,Normal,Foggy,No
"Bangalore, India",13-11-2021,11,Mild,Strong,Normal,Foggy,No
"Bangalore, India",13-11-2021,12,Mild,Light,Normal,Foggy,No
"Bangalore, India",13-11-2021,13,Hot,Light,Normal,Foggy,No
"Bangalore, India",13-11-2021,14,Hot,Strong,Normal,Foggy,No
"Bangalore, India",13-11-2021,15,Hot,Strong,Normal,Foggy,No
"Bangalore, India",13-11-2021,16,Hot,Strong,Normal,Foggy,No
"Bangalore, India",13-11-2021,17,Mild,Strong,Normal,Foggy,No
"Bangalore, India",13-11-2021,18,Mild,Strong,Normal,Sunny,Yes
"Bangalore, India",13-11-2021,19,Mild,Strong,High,Sunny,Yes
"Bangalore, India",13-11-2021,20,Mild,Strong,High,Sunny,Yes
"Bangalore, India",13-11-2021,21,Mild,Strong,High,Sunny,Yes
"Bangalore, India",13-11-2021,22,Mild,Strong,High,Sunny,Yes
"Bangalore, India",13-11-2021,23,Mild,Light,High,Sunny,No
"Bangalore, India",13-11-2021,24,Mild,Light,High,Foggy,No
"Bangalore, India",14-11-2021,1,Mild,Light,High,Foggy,No
"Bangalore, India",14-11-2021,2,Mild,Light,High,Sunny,No
"Bangalore, India",14-11-2021,3,Mild,Light,High,Foggy,No
"Bangalore, India",14-11-2021,4,Mild,Light,High,Foggy,No
"Bangalore, India",14-11-2021,5,Cool,Light,High,Foggy,No
"Bangalore, India",14-11-2021,6,Cool,Light,High,Foggy,No
"Bangalore, India",14-11-2021,7,Cool,Light,High,Foggy,No
"Bangalore, India",14-11-2021,8,Mild,Light,High,Foggy,No
"Bangalore, India",14-11-2021,9,Mild,Light,High,Sunny,No
"Bangalore, India",14-11-2021,10,Mild,Light,Normal,Foggy,No
"Bangalore, India",14-11-2021,11,Mild,Light,Normal,Foggy,No
"Bangalore, India",14-11-2021,12,Mild,Light,Normal,Foggy,Yes
"Bangalore, India",14-11-2021,13,Hot,Strong,Normal,Foggy,Yes
"Bangalore, India",14-11-2021,14,Hot,Light,Normal,Foggy,Yes
"Bangalore, India",14-11-2021,15,Hot,Light,Normal,Foggy,Yes
"Bangalore, India",14-11-2021,16,Hot,Light,Normal,Foggy,Yes
"Bangalore, India",14-11-2021,17,Mild,Light,Normal,Foggy,Yes
"Bangalore, India",14-11-2021,18,Mild,Light,Normal,Sunny,Yes
"Bangalore, India",14-11-2021,19,Mild,Light,High,Sunny,Yes
"Bangalore, India",14-11-2021,20,Mild,Light,High,Sunny,Yes
"Bangalore, India",14-11-2021,21,Mild,Light,High,Foggy,Yes
"Bangalore, India",14-11-2021,22,Mild,Light,High,Foggy,Yes
"Bangalore, India",14-11-2021,23,Mild,Light,High,Foggy,Yes
"Bangalore, India",14-11-2021,24,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,1,Mild,Strong,High,Foggy,Yes
"Bangalore, India",15-11-2021,2,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,3,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,4,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,5,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,6,Mild,Light,High,Sunny,Yes
"Bangalore, India",15-11-2021,7,Mild,Light,High,Sunny,Yes
"Bangalore, India",15-11-2021,8,Mild,Light,High,Sunny,Yes
"Bangalore, India",15-11-2021,9,Mild,Light,High,Sunny,Yes
"Bangalore, India",15-11-2021,10,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,11,Mild,Light,High,Sunny,Yes
"Bangalore, India",15-11-2021,12,Mild,Light,Normal,Sunny,Yes
"Bangalore, India",15-11-2021,13,Mild,Light,Normal,Foggy,Yes
"Bangalore, India",15-11-2021,14,Mild,Light,Normal,Foggy,Yes
"Bangalore, India",15-11-2021,15,Mild,Light,Normal,Foggy,Yes
"Bangalore, India",15-11-2021,16,Mild,Light,Normal,Foggy,Yes
"Bangalore, India",15-11-2021,17,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,18,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,19,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,20,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,21,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,22,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,23,Mild,Light,High,Foggy,Yes
"Bangalore, India",15-11-2021,24,Mild,Light,High,Foggy,No
"Bangalore, India",16-11-2021,1,Mild,Strong,High,Foggy,No
"Bangalore, India",16-11-2021,2,Mild,Light,High,Sunny,No
"Bangalore, India",16-11-2021,3,Mild,Light,High,Foggy,No
"Bangalore, India",16-11-2021,4,Mild,Light,High,Foggy,No
"Bangalore, India",16-11-2021,5,Mild,Light,High,Foggy,No
