Conditions,,,Comfort,,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:00
Thu, 11 Nov",,20 °C,Fog.,9 km/h,↑,60%,1014 mbar,3 km
7:30,,20 °C,Fog.,9 km/h,↑,60%,1014 mbar,3 km
8:00,,21 °C,Fog.,9 km/h,↑,57%,1014 mbar,3 km
8:30,,21 °C,Fog.,9 km/h,↑,57%,1014 mbar,3 km
9:00,,21 °C,Fog.,6 km/h,↑,57%,1015 mbar,3 km
9:30,,23 °C,Fog.,6 km/h,↑,61%,1015 mbar,3 km
10:00,,24 °C,Fog.,6 km/h,↑,57%,1015 mbar,3 km
10:30,,25 °C,Fog.,6 km/h,↑,54%,1014 mbar,3 km
11:00,,24 °C,Fog.,6 km/h,↑,57%,1014 mbar,3 km
11:30,,25 °C,Fog.,9 km/h,↑,54%,1013 mbar,3 km
12:00,,25 °C,Broken clouds.,9 km/h,↑,54%,1012 mbar,5 km
12:30,,26 °C,Broken clouds.,No wind,↑,51%,1012 mbar,5 km
13:00,,27 °C,Broken clouds.,6 km/h,↑,48%,1011 mbar,5 km
13:30,,27 °C,Broken clouds.,6 km/h,↑,48%,1011 mbar,5 km
14:00,,27 °C,Broken clouds.,4 km/h,↑,51%,1010 mbar,5 km
14:30,,27 °C,Broken clouds.,4 km/h,↑,51%,1010 mbar,5 km
15:00,,26 °C,Broken clouds.,4 km/h,↑,54%,1010 mbar,5 km
15:30,,26 °C,Broken clouds.,4 km/h,↑,51%,1010 mbar,5 km
16:00,,26 °C,Broken clouds.,4 km/h,↑,54%,1010 mbar,5 km
16:30,,25 °C,Broken clouds.,6 km/h,↑,54%,1010 mbar,5 km
17:00,,25 °C,Broken clouds.,6 km/h,↑,54%,1011 mbar,5 km
17:30,,25 °C,Broken clouds.,4 km/h,↑,54%,1011 mbar,5 km
18:00,,24 °C,Broken clouds.,4 km/h,↑,61%,1012 mbar,5 km
18:30,,24 °C,Partly cloudy.,2 km/h,↑,57%,1012 mbar,5 km
19:00,,24 °C,Partly cloudy.,6 km/h,↑,61%,1012 mbar,5 km
19:30,,23 °C,Partly cloudy.,4 km/h,↑,65%,1013 mbar,5 km
20:00,,23 °C,Partly cloudy.,4 km/h,↑,65%,1013 mbar,5 km
20:30,,23 °C,Partly cloudy.,4 km/h,↑,65%,1013 mbar,5 km
21:00,,23 °C,Partly cloudy.,No wind,↑,65%,1013 mbar,5 km
21:30,,22 °C,Partly cloudy.,No wind,↑,69%,1014 mbar,5 km
,,,,,,,,
Conditions,,,Comfort,,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:00
Fri, 12 Nov",,21 °C,Fog.,7 km/h,↑,73%,1014 mbar,3 km
7:30,,21 °C,Fog.,7 km/h,↑,78%,1014 mbar,3 km
8:00,,21 °C,Fog.,7 km/h,↑,78%,1014 mbar,3 km
8:30,,22 °C,Fog.,7 km/h,↑,78%,1014 mbar,3 km
9:00,,22 °C,Fog.,7 km/h,↑,78%,1014 mbar,3 km
9:30,,23 °C,Fog.,7 km/h,↑,78%,1014 mbar,3 km
10:00,,24 °C,Fog.,7 km/h,↑,78%,1014 mbar,3 km
10:30,,24 °C,Fog.,7 km/h,↑,78%,1014 mbar,3 km
11:00,,24 °C,Broken clouds.,7 km/h,↑,83%,1014 mbar,4 km
11:30,,25 °C,Broken clouds.,7 km/h,↑,79%,1013 mbar,4 km
12:30,,25 °C,Broken clouds.,7 km/h,↑,79%,1012 mbar,4 km
13:00,,25 °C,Broken clouds.,7 km/h,↑,83%,1012 mbar,5 km
13:30,,25 °C,Broken clouds.,7 km/h,↑,79%,1011 mbar,5 km
14:00,,25 °C,Broken clouds.,7 km/h,↑,79%,1011 mbar,5 km
14:30,,24 °C,Drizzle. Broken clouds.,4 km/h,↑,89%,1011 mbar,5 km
15:00,,24 °C,Drizzle. Broken clouds.,2 km/h,↑,89%,1011 mbar,5 km
15:30,,25 °C,Broken clouds.,No wind,↑,83%,1011 mbar,5 km
16:00,,26 °C,Broken clouds.,No wind,↑,74%,1011 mbar,5 km
16:30,,25 °C,Broken clouds.,6 km/h,↑,79%,1011 mbar,5 km
17:00,,25 °C,Broken clouds.,6 km/h,↑,79%,1011 mbar,5 km
17:30,,25 °C,Broken clouds.,4 km/h,↑,79%,1011 mbar,5 km
18:00,,24 °C,Broken clouds.,2 km/h,↑,83%,1012 mbar,5 km
18:30,,24 °C,Partly cloudy.,4 km/h,↑,83%,1012 mbar,5 km
19:00,,24 °C,Partly cloudy.,4 km/h,↑,83%,1013 mbar,5 km
19:30,,24 °C,Partly cloudy.,4 km/h,↑,83%,1013 mbar,5 km
20:00,,24 °C,Partly cloudy.,4 km/h,↑,83%,1013 mbar,5 km
20:30,,23 °C,Partly cloudy.,4 km/h,↑,89%,1014 mbar,5 km
21:00,,23 °C,Partly cloudy.,2 km/h,↑,89%,1014 mbar,5 km
21:30,,23 °C,Partly cloudy.,2 km/h,↑,89%,1014 mbar,5 km
,,,,,,,,
Conditions,,,Comfort,,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:30
Sat, 13 Nov",,22 °C,Broken clouds.,4 km/h,↑,94%,1013 mbar,5 km
8:00,,22 °C,Broken clouds.,9 km/h,↑,94%,1014 mbar,5 km
8:30,,22 °C,Broken clouds.,4 km/h,↑,94%,1014 mbar,5 km
9:00,,22 °C,Broken clouds.,4 km/h,↑,94%,1014 mbar,5 km
9:30,,22 °C,Drizzle. Broken clouds.,9 km/h,↑,94%,1015 mbar,5 km
10:00,,23 °C,Broken clouds.,4 km/h,↑,94%,1014 mbar,5 km
10:30,,24 °C,Broken clouds.,9 km/h,↑,89%,1014 mbar,5 km
11:00,,24 °C,Broken clouds.,9 km/h,↑,89%,1014 mbar,5 km
11:30,,24 °C,Broken clouds.,9 km/h,↑,94%,1014 mbar,5 km
12:00,,25 °C,Broken clouds.,9 km/h,↑,83%,1013 mbar,5 km
12:30,,26 °C,Broken clouds.,9 km/h,↑,84%,1013 mbar,5 km
13:30,,27 °C,Scattered clouds.,9 km/h,↑,89%,1012 mbar,5 km
14:00,,27 °C,Scattered clouds.,9 km/h,↑,74%,1012 mbar,5 km
14:30,,27 °C,Scattered clouds.,9 km/h,↑,74%,1011 mbar,5 km
15:00,,27 °C,Scattered clouds.,9 km/h,↑,74%,1011 mbar,5 km
15:30,,26 °C,Scattered clouds.,9 km/h,↑,79%,1011 mbar,5 km
16:00,,26 °C,Scattered clouds.,9 km/h,↑,79%,1011 mbar,5 km
16:30,,26 °C,Scattered clouds.,6 km/h,↑,79%,1011 mbar,5 km
17:00,,26 °C,Scattered clouds.,4 km/h,↑,79%,1011 mbar,5 km
17:30,,25 °C,Scattered clouds.,4 km/h,↑,83%,1012 mbar,5 km
18:00,,24 °C,Scattered clouds.,4 km/h,↑,89%,1012 mbar,5 km
18:30,,24 °C,Passing clouds.,4 km/h,↑,89%,1012 mbar,5 km
19:00,,24 °C,Passing clouds.,2 km/h,↑,89%,1013 mbar,5 km
19:30,,23 °C,Passing clouds.,4 km/h,↑,94%,1013 mbar,5 km
20:00,,23 °C,Passing clouds.,4 km/h,↑,94%,1014 mbar,5 km
20:30,,23 °C,Passing clouds.,2 km/h,↑,94%,1014 mbar,5 km
21:00,,23 °C,Passing clouds.,4 km/h,↑,94%,1014 mbar,5 km
21:30,,23 °C,Passing clouds.,4 km/h,↑,89%,1015 mbar,5 km
,,,,,,,,
Conditions,,,Comfort,,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"07:00
Sun, 14 Nov",,22 °C,Fog.,4 km/h,↑,94%,1014 mbar,3 km
7:30,,22 °C,Fog.,9 km/h,↑,94%,1014 mbar,3 km
8:00,,22 °C,Fog.,9 km/h,↑,94%,1014 mbar,3 km
8:30,,22 °C,Fog.,4 km/h,↑,94%,1014 mbar,3 km
9:00,,22 °C,Broken clouds.,9 km/h,↑,94%,1015 mbar,5 km
9:30,,24 °C,Broken clouds.,9 km/h,↑,89%,1015 mbar,5 km
10:00,,25 °C,Broken clouds.,6 km/h,↑,83%,1015 mbar,5 km
10:30,,25 °C,Broken clouds.,6 km/h,↑,83%,1015 mbar,5 km
11:00,,25 °C,Broken clouds.,9 km/h,↑,83%,1014 mbar,5 km
12:00,,25 °C,Broken clouds.,4 km/h,↑,83%,1014 mbar,5 km
12:30,,26 °C,Broken clouds.,9 km/h,↑,79%,1013 mbar,5 km
14:00,,27 °C,Broken clouds.,6 km/h,↑,70%,1012 mbar,5 km
14:30,,28 °C,Broken clouds.,9 km/h,↑,70%,1011 mbar,5 km
15:00,,28 °C,Broken clouds.,6 km/h,↑,70%,1011 mbar,5 km
15:30,,28 °C,Scattered clouds.,4 km/h,↑,70%,1011 mbar,5 km
16:00,,27 °C,Scattered clouds.,4 km/h,↑,74%,1011 mbar,5 km
16:30,,27 °C,Broken clouds.,4 km/h,↑,74%,1011 mbar,5 km
17:00,,26 °C,Broken clouds.,4 km/h,↑,79%,1011 mbar,5 km
17:30,,26 °C,Scattered clouds.,4 km/h,↑,79%,1011 mbar,5 km
18:00,,25 °C,Scattered clouds.,2 km/h,↑,83%,1011 mbar,5 km
18:30,,25 °C,Passing clouds.,2 km/h,↑,83%,1012 mbar,5 km
19:00,,25 °C,Passing clouds.,2 km/h,↑,83%,1012 mbar,5 km
19:30,,24 °C,Passing clouds.,2 km/h,↑,89%,1013 mbar,5 km
20:00,,24 °C,Passing clouds.,4 km/h,↑,89%,1014 mbar,5 km
20:30,,24 °C,Haze.,4 km/h,↑,89%,1014 mbar,5 km
21:00,,24 °C,Haze.,2 km/h,↑,89%,1014 mbar,5 km
21:30,,24 °C,Haze.,2 km/h,↑,89%,1014 mbar,5 km
22:00,,24 °C,Haze.,No wind,↑,89%,1014 mbar,5 km
,,,,,,,,
Conditions,,,Comfort,,,,,
Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
"06:30
Mon, 15 Nov",,22 °C,Fog.,4 km/h,↑,94%,1012 mbar,3 km
7:00,,22 °C,Fog.,4 km/h,↑,94%,1013 mbar,3 km
7:30,,22 °C,Fog.,4 km/h,↑,94%,1013 mbar,3 km
8:00,,22 °C,Fog.,9 km/h,↑,94%,1014 mbar,3 km
8:30,,24 °C,Broken clouds.,9 km/h,↑,94%,1014 mbar,5 km
9:00,,24 °C,Broken clouds.,9 km/h,↑,94%,1014 mbar,5 km
9:30,,24 °C,Broken clouds.,9 km/h,↑,89%,1014 mbar,5 km
10:00,,25 °C,Broken clouds.,6 km/h,↑,89%,1014 mbar,5 km
10:30,,26 °C,Broken clouds.,9 km/h,↑,84%,1014 mbar,5 km
11:00,,25 °C,Broken clouds.,9 km/h,↑,83%,1014 mbar,5 km
11:30,,26 °C,Broken clouds.,9 km/h,↑,79%,1013 mbar,5 km
12:00,,28 °C,Broken clouds.,9 km/h,↑,74%,1013 mbar,5 km
12:30,,26 °C,Broken clouds.,9 km/h,↑,74%,1012 mbar,5 km
13:00,,27 °C,Broken clouds.,4 km/h,↑,74%,1011 mbar,5 km
13:30,,27 °C,Broken clouds.,9 km/h,↑,74%,1010 mbar,5 km
14:00,,27 °C,Broken clouds.,9 km/h,↑,74%,1010 mbar,5 km
14:30,,27 °C,Broken clouds.,9 km/h,↑,74%,1010 mbar,5 km
15:00,,27 °C,Broken clouds.,7 km/h,↑,70%,1009 mbar,5 km
15:30,,28 °C,Broken clouds.,7 km/h,↑,70%,1009 mbar,5 km
16:00,,27 °C,Broken clouds.,7 km/h,↑,74%,1009 mbar,5 km
16:30,,26 °C,Scattered clouds.,7 km/h,↑,74%,1009 mbar,5 km
17:00,,26 °C,Scattered clouds.,7 km/h,↑,74%,1009 mbar,5 km
17:30,,26 °C,Scattered clouds.,7 km/h,↑,74%,1009 mbar,5 km
18:00,,25 °C,Scattered clouds.,7 km/h,↑,79%,1010 mbar,5 km
18:30,,25 °C,Passing clouds.,7 km/h,↑,79%,1010 mbar,5 km
19:00,,25 °C,Passing clouds.,7 km/h,↑,83%,1011 mbar,5 km
