lat,lon,timezone,timezone_offset,current.dt,current.sunrise,current.sunset,current.temp,current.feels_like,current.pressure,current.humidity,current.dew_point,current.uvi,current.clouds,current.visibility,current.wind_speed,current.wind_deg,current.weather.id,current.weather.main,current.weather.description,current.weather.icon,minutely.dt,minutely.precipitation
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964280,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964340,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964400,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964460,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964520,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964580,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964640,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964700,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964760,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964820,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964880,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636964940,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636965000,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636965060,0
