Symbol,Date,Open,High,Low,Last.Traded.Price,Change,X.Change,Traded.Volume.lacs.,Traded.Value.crs.,X52.Week.High,X52.Week.Low,X365.Days...Change,X30.Days...Change
JSWSTEEL,11/17/2021 9:20,660.3,664.15,658.6,662.6,-2.3,-0.35,2.06,13.6,776.5,329.15,94.34,-7.43
JSWSTEEL,11/17/2021 9:31,660.3,666.15,658.6,661.7,-3.2,-0.48,3.88,25.69,776.5,329.15,94.08,-7.56
JSWSTEEL,11/17/2021 9:45,660.3,666.15,658.6,665.15,0.25,0.04,4.97,32.95,776.5,329.15,95.09,-7.08
JSWSTEEL,11/17/2021 10:05,660.3,666.15,658.6,662.25,-2.65,-0.4,5.98,39.66,776.5,329.15,94.24,-7.48
JSWSTEEL,11/17/2021 10:16,660.3,666.15,658.6,661.2,-3.7,-0.56,6.71,44.47,776.5,329.15,93.93,-7.63
JSWSTEEL,11/17/2021 10:30,660.3,666.15,658.6,661.85,-3.05,-0.46,8.07,53.48,776.5,329.15,94.12,-7.54
JSWSTEEL,11/17/2021 10:45,660.3,666.15,658.6,662.5,-2.4,-0.36,9,59.62,776.5,329.15,94.31,-7.45
JSWSTEEL,11/17/2021 11:02,660.3,666.15,658.6,660.55,-4.35,-0.65,9.9,65.58,776.5,329.15,93.74,-7.72
JSWSTEEL,11/17/2021 11:17,660.3,666.15,658.6,661.1,-3.8,-0.57,10.43,69.05,776.5,329.15,93.9,-7.64
JSWSTEEL,11/17/2021 11:29,660.3,666.15,658.6,660.65,-4.25,-0.64,11.02,73,776.5,329.15,93.77,-7.7
JSWSTEEL,11/17/2021 11:52,660.3,666.15,658.6,660.35,-4.55,-0.68,12.81,84.77,776.5,329.15,93.68,-7.75
JSWSTEEL,11/17/2021 12:14,660.3,666.15,658.6,661.15,-3.75,-0.56,13.27,87.84,776.5,329.15,93.91,-7.63
JSWSTEEL,11/17/2021 12:30,660.3,666.15,658.6,661.55,-3.35,-0.5,13.82,91.49,776.5,329.15,94.03,-7.58
JSWSTEEL,11/17/2021 12:53,660.3,667.25,658.6,662.65,-2.25,-0.34,16.47,109.07,776.5,329.15,94.35,-7.43
JSWSTEEL,11/17/2021 13:34,660.3,671.7,658.6,670.7,5.8,0.87,19.57,129.78,776.5,329.15,96.72,-6.3
JSWSTEEL,11/17/2021 13:40,660.3,671.7,658.6,669.6,4.7,0.71,20.74,137.57,776.5,329.15,96.39,-6.45
JSWSTEEL,11/17/2021 13:52,660.3,671.7,658.6,669.8,4.9,0.74,21.66,143.73,776.5,329.15,96.45,-6.43
JSWSTEEL,11/17/2021 14:06,660.3,671.7,658.6,667.85,2.95,0.44,22.38,148.59,776.5,329.15,95.88,-6.7
JSWSTEEL,11/17/2021 14:17,660.3,671.7,658.6,666.85,1.95,0.29,22.86,151.8,776.5,329.15,95.59,-6.84
JSWSTEEL,11/17/2021 14:32,660.3,671.7,658.6,665.35,0.45,0.07,23.8,158,776.5,329.15,95.15,-7.05
JSWSTEEL,11/17/2021 14:49,660.3,671.7,658.6,664.5,-0.4,-0.06,24.28,161.25,776.5,329.15,94.9,-7.17
JSWSTEEL,11/17/2021 15:00,660.3,671.7,658.6,664.5,-0.4,-0.06,24.28,161.25,776.5,329.15,94.9,-7.17
JSWSTEEL,11/17/2021 15:05,660.3,671.7,658.6,662.95,-1.95,-0.29,25.38,168.5,776.5,329.15,94.44,-7.38
JSWSTEEL,11/17/2021 15:18,660.3,671.7,658.6,662.35,-2.55,-0.38,26.96,178.98,776.5,329.15,94.27,-7.47
JSWSTEEL,11/17/2021 15:40,660.3,671.7,658.6,662.45,-2.45,-0.37,28.8,191.2,776.5,329.15,94.3,-7.45
JSWSTEEL,11/17/2021 15:59,660.3,671.7,658.6,662.45,-2.45,-0.37,28.83,191.34,776.5,329.15,94.3,-7.45
JSWSTEEL,11/18/2021 9:31,663,666.9,662.45,662.45,0.1,0.02,2.62,17.44,776.5,329.15,94.3,-7.45
JSWSTEEL,11/18/2021 9:45,663,666.9,657.25,658.3,-4.05,-0.61,5.91,39.14,776.5,329.15,93.08,-8.03
JSWSTEEL,11/18/2021 10:02,663,666.9,657.25,658.2,-4.15,-0.63,7.21,47.7,776.5,329.15,93.05,-8.05
JSWSTEEL,11/18/2021 10:21,663,666.9,654.1,654.6,-7.75,-1.17,10.06,66.39,776.5,329.15,91.99,-8.55
JSWSTEEL,11/18/2021 10:34,663,666.9,654.05,658,-4.35,-0.66,11.04,72.85,776.5,329.15,92.99,-8.07
JSWSTEEL,11/18/2021 10:59,663,666.9,653.4,659.8,-2.55,-0.38,13.24,87.31,776.5,329.15,93.52,-7.82
JSWSTEEL,11/18/2021 11:14,663,666.9,653.4,658.8,-3.55,-0.54,14.09,92.88,776.5,329.15,93.22,-7.96
JSWSTEEL,11/18/2021 11:30,663,666.9,653.4,660,-2.35,-0.35,15.03,99.1,776.5,329.15,93.58,-7.8
JSWSTEEL,11/18/2021 11:51,663,666.9,653.4,657.5,-4.85,-0.73,15.84,104.42,776.5,329.15,92.84,-8.14
JSWSTEEL,11/18/2021 12:22,663,666.9,653.25,653.4,-8.95,-1.35,16.99,111.96,776.5,329.15,91.64,-8.72
JSWSTEEL,11/18/2021 12:45,663,666.9,650.85,654.15,-8.2,-1.24,19.35,127.4,776.5,329.15,91.86,-8.61
JSWSTEEL,11/18/2021 13:20,663,666.9,650.85,657.3,-5.05,-0.76,20.64,135.82,776.5,329.15,92.78,-8.17
JSWSTEEL,11/18/2021 13:33,663,666.9,650.85,656,-6.35,-0.96,21.08,138.72,776.5,329.15,92.4,-8.35
JSWSTEEL,11/18/2021 14:00,663,666.9,650.85,654.4,-7.95,-1.2,22.63,148.88,776.5,329.15,91.93,-8.58
JSWSTEEL,11/18/2021 14:12,663,666.9,650.85,652.2,-10.15,-1.53,24.24,159.38,776.5,329.15,91.29,-8.89
JSWSTEEL,11/18/2021 14:21,663,666.9,650.85,652.3,-10.05,-1.52,24.83,163.21,776.5,329.15,91.32,-8.87
JSWSTEEL,11/18/2021 14:40,663,666.9,643,644.35,-18,-2.72,32.24,211.34,776.5,329.15,88.99,-9.98
JSWSTEEL,11/18/2021 14:52,663,666.9,643,647.65,-14.7,-2.22,34.41,225.34,776.5,329.15,89.95,-9.52
JSWSTEEL,11/18/2021 15:00,663,666.9,643,648.25,-14.1,-2.13,35.18,230.3,776.5,329.15,90.13,-9.44
JSWSTEEL,11/18/2021 15:09,663,666.9,643,650,-12.35,-1.86,36.87,241.31,776.5,329.15,90.64,-9.19
JSWSTEEL,11/18/2021 15:20,663,666.9,643,652.05,-10.3,-1.56,38.38,251.15,776.5,329.15,91.25,-8.91
JSWSTEEL,11/18/2021 15:59,663,666.9,643,651.4,-10.95,-1.65,40.1,262.33,776.5,329.15,91.05,-9
JSWSTEEL,11/22/2021 9:31,654.95,655,645.05,653.25,2.7,0.42,3.04,19.77,776.5,329.15,90.67,-5.54
JSWSTEEL,11/22/2021 9:42,654.95,657.75,645.05,655.9,5.35,0.82,4.63,30.19,776.5,329.15,91.45,-5.16
JSWSTEEL,11/22/2021 9:52,654.95,660.6,645.05,659,8.45,1.3,5.74,37.51,776.5,329.15,92.35,-4.71
JSWSTEEL,11/22/2021 10:01,654.95,660.6,645.05,658.5,7.95,1.22,6.38,41.68,776.5,329.15,92.21,-4.78
JSWSTEEL,11/22/2021 10:17,654.95,660.6,645.05,657.95,7.4,1.14,7.09,46.35,776.5,329.15,92.05,-4.86
JSWSTEEL,11/22/2021 10:30,654.95,660.6,645.05,656.65,6.1,0.94,7.99,52.27,776.5,329.15,91.67,-5.05
JSWSTEEL,11/22/2021 10:51,654.95,660.6,645.05,655.7,5.15,0.79,9.66,63.19,776.5,329.15,91.39,-5.18
