Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Mumbai, MH, India",11-04-2021 00:00,84.2,84.2,84.2,,85.7,0,,,4.7,40,,1.9,0,51.51,Clear
"Mumbai, MH, India",11-04-2021 01:00,84.2,84.2,84.2,,85.1,0,,,5.8,70,,1.9,0,48.36,Clear
"Mumbai, MH, India",11-04-2021 02:00,82.7,82.7,82.7,,83.9,0,,,2.9,,,1.5,27.9,51.84,Partially cloudy
"Mumbai, MH, India",11-04-2021 03:00,82.4,82.4,82.4,,83.4,0,,,4.7,60,,1.9,27.9,51.25,Partially cloudy
"Mumbai, MH, India",11-04-2021 04:00,84.2,84.2,84.2,,84.5,0,,,8.1,70,,1.9,27.9,45.38,Partially cloudy
"Mumbai, MH, India",11-04-2021 05:00,83,83,83,,83.7,0,,,0,,,1.5,57.1,49.05,Partially cloudy
"Mumbai, MH, India",11-04-2021 06:00,84.2,84.2,84.2,,84.5,0,,,6.9,90,,1.9,50,45.38,Partially cloudy
"Mumbai, MH, India",11-04-2021 07:00,84.2,84.2,84.2,,84.5,0,,,6.9,90,,1.9,50,45.38,Partially cloudy
"Mumbai, MH, India",11-04-2021 08:00,81.6,81.6,81.6,,84.6,0,,,1.1,39,,1.3,60.3,64.19,Partially cloudy
"Mumbai, MH, India",11-04-2021 09:00,87.2,87.2,87.2,,88.7,0,,,6.2,64,,1.9,61.9,46.74,Partially cloudy
"Mumbai, MH, India",11-04-2021 10:00,89.6,89.6,89.6,,91.2,0,,,5.8,81,,1.9,50,43.37,Partially cloudy
"Mumbai, MH, India",11-04-2021 11:00,90.1,90.1,90.1,,91.5,0,,,0,,,1.3,33.4,41.82,Partially cloudy
"Mumbai, MH, India",11-04-2021 12:00,92.7,92.7,92.7,,96.2,0,,,2.2,318,,2.1,50,42.69,Partially cloudy
"Mumbai, MH, India",11-04-2021 13:00,90.4,90.4,90.4,,94.7,0,,,9.2,273,,2.1,50,48.72,Partially cloudy
"Mumbai, MH, India",11-04-2021 14:00,90.3,90.3,90.3,,94.7,0,,,5.1,,,1.8,62,49.13,Partially cloudy
"Mumbai, MH, India",11-04-2021 15:00,88.5,88.5,88.5,,91.7,0,,,9.2,273,,2.1,50,49.76,Partially cloudy
"Mumbai, MH, India",11-04-2021 16:00,88.5,88.5,88.5,,91.7,0,,,9.2,307,,2.1,50,49.76,Partially cloudy
"Mumbai, MH, India",11-04-2021 17:00,84.1,84.1,84.1,,89.2,0,,,0,,,1.3,12.4,65.47,Clear
"Mumbai, MH, India",11-04-2021 18:00,87.8,87.8,87.8,,91.5,0,,,5.8,330,,1.9,27.9,52.02,Partially cloudy
"Mumbai, MH, India",11-04-2021 19:00,87.8,87.8,87.8,,90.3,0,,,8.1,340,,1.9,27.9,48.88,Partially cloudy
